Gene,first-wave transcribed genes,early ZGA genes,"down-regulated in nanog MO 4hpf (Lee, et al. 2013 Nature)","down-regulated in nanog MO 6hpf (Lee, et al. 2013 Nature)"
ENSDARG00000036282,False,False,False,False
ENSDARG00000070786,False,False,False,False
ENSDARG00000042977,False,False,False,False
ENSDARG00000096921,False,False,False,False
ENSDARG00000104068,False,False,False,False
ENSDARG00000093648,False,False,False,False
ENSDARG00000010519,False,False,False,False
ENSDARG00000100773,False,False,False,False
ENSDARG00000070029,False,False,False,False
ENSDARG00000006546,False,False,False,False
ENSDARG00000114922,False,False,False,False
ENSDARG00000044092,False,False,False,False
ENSDARG00000042139,False,False,False,False
ENSDARG00000036546,False,False,False,False
ENSDARG00000062187,False,False,False,False
ENSDARG00000042485,True,True,False,False
ENSDARG00000094186,False,False,False,False
ENSDARG00000038977,False,False,False,False
ENSDARG00000099103,False,False,False,False
ENSDARG00000073847,False,False,False,False
ENSDARG00000015474,False,False,False,False
ENSDARG00000110594,False,False,False,False
ENSDARG00000052279,True,False,True,False
ENSDARG00000068732,False,False,True,True
ENSDARG00000071727,False,False,False,False
ENSDARG00000077530,False,False,False,True
ENSDARG00000097748,False,False,False,False
ENSDARG00000086819,False,False,False,False
ENSDARG00000003941,False,False,False,True
ENSDARG00000058088,False,False,False,False
ENSDARG00000005150,False,False,False,False
ENSDARG00000103270,False,False,False,False
ENSDARG00000117678,False,False,False,False
ENSDARG00000096429,False,False,False,False
ENSDARG00000019692,False,False,False,False
ENSDARG00000018334,False,False,False,True
ENSDARG00000043581,False,False,False,False
ENSDARG00000028118,False,False,False,False
ENSDARG00000022456,False,False,False,False
ENSDARG00000054916,False,False,False,True
ENSDARG00000055945,False,False,False,False
ENSDARG00000005841,False,False,False,False
ENSDARG00000043661,False,False,False,False
ENSDARG00000094206,False,False,False,False
ENSDARG00000017007,False,False,False,False
ENSDARG00000113979,False,False,False,False
ENSDARG00000079201,False,False,False,False
ENSDARG00000105258,False,False,False,False
ENSDARG00000097709,False,False,False,False
ENSDARG00000003193,False,False,False,True
ENSDARG00000071669,False,False,False,False
ENSDARG00000078624,False,False,False,False
ENSDARG00000113335,False,False,False,False
ENSDARG00000115874,False,False,False,False
ENSDARG00000055100,False,False,False,False
ENSDARG00000098639,False,False,False,False
ENSDARG00000056322,False,False,False,False
ENSDARG00000003544,False,False,False,False
ENSDARG00000097543,False,False,False,False
ENSDARG00000099025,False,False,False,False
