Gene,"first-wave transcribed genes (Lee, et al. 2013, Nature)","early ZGA genes (Heyn, et al. 2014, Cell Rep)","down-regulated in nanog MO 4hpf (Lee, et al. 2013,  Nature)","down-regulated in nanog MO 6hpf (Lee, et al. 2013,  Nature)"
ENSDARG00000016429,False,False,False,True
ENSDARG00000033489,False,False,False,False
ENSDARG00000111615,False,False,False,False
ENSDARG00000106545,False,False,False,False
ENSDARG00000070047,False,False,False,False
ENSDARG00000074849,False,False,False,False
ENSDARG00000099837,False,False,False,False
ENSDARG00000012699,False,False,False,True
ENSDARG00000062330,False,False,False,False
ENSDARG00000110404,False,False,False,False
ENSDARG00000028118,False,False,False,False
ENSDARG00000044938,False,False,False,True
ENSDARG00000102717,False,False,False,False
ENSDARG00000002947,False,False,False,False
ENSDARG00000099103,False,False,False,False
ENSDARG00000076564,False,False,False,True
ENSDARG00000003098,False,False,False,False
ENSDARG00000000966,False,False,False,False
ENSDARG00000076019,False,False,False,False
ENSDARG00000031907,False,True,False,True
ENSDARG00000074305,False,False,False,False
ENSDARG00000038066,False,False,False,False
ENSDARG00000088711,False,False,False,False
ENSDARG00000109664,False,False,False,False
ENSDARG00000060808,False,False,False,True
ENSDARG00000112565,False,False,False,False
ENSDARG00000070338,False,False,False,False
ENSDARG00000091511,False,False,False,False
ENSDARG00000056034,False,False,False,False
ENSDARG00000055644,False,False,False,False
ENSDARG00000113921,False,False,False,False
ENSDARG00000094836,False,False,False,False
ENSDARG00000094509,False,False,False,False
ENSDARG00000094888,False,False,False,False
ENSDARG00000032072,False,False,False,False
ENSDARG00000101844,False,False,False,False
ENSDARG00000037429,False,False,False,True
ENSDARG00000024687,False,False,False,False
ENSDARG00000059279,False,True,False,False
ENSDARG00000071727,False,False,False,False
ENSDARG00000113020,False,False,False,False
ENSDARG00000105209,False,False,False,False
ENSDARG00000100586,False,False,False,False
ENSDARG00000074979,False,True,False,True
ENSDARG00000055479,False,False,False,True
ENSDARG00000006567,False,False,False,True
ENSDARG00000021372,False,False,False,False
ENSDARG00000111426,False,False,False,False
ENSDARG00000097321,False,False,False,False
ENSDARG00000022832,False,False,False,False
ENSDARG00000070843,False,False,False,False
ENSDARG00000106182,False,False,False,False
ENSDARG00000099143,False,False,False,False
ENSDARG00000097072,False,False,False,False
ENSDARG00000100573,False,False,False,False
ENSDARG00000034256,False,False,False,False
ENSDARG00000019280,False,False,False,False
ENSDARG00000025013,False,False,False,False
ENSDARG00000082177,False,False,False,False
