Gene,first-wave transcribed genes,early ZGA genes,"down-regulated in nanog MO 4hpf (Lee, et al. 2013 Nature)","down-regulated in nanog MO 6hpf (Lee, et al. 2013 Nature)"
ENSDARG00000086405,False,False,False,False
ENSDARG00000034896,False,False,False,False
ENSDARG00000089913,False,False,False,False
ENSDARG00000019498,False,False,False,False
ENSDARG00000077850,False,False,False,False
ENSDARG00000042851,False,False,False,True
ENSDARG00000011373,False,False,False,False
ENSDARG00000077712,True,True,True,True
ENSDARG00000078108,False,False,False,False
ENSDARG00000076348,False,False,False,False
ENSDARG00000112334,False,False,False,False
ENSDARG00000092448,False,False,False,False
ENSDARG00000045289,False,False,False,False
ENSDARG00000006514,False,False,False,False
ENSDARG00000098328,False,False,False,False
ENSDARG00000057590,False,False,False,False
ENSDARG00000062457,False,False,False,True
ENSDARG00000070571,False,False,False,False
ENSDARG00000012141,False,False,False,True
ENSDARG00000014531,False,False,False,False
ENSDARG00000036811,False,False,False,False
ENSDARG00000042261,False,False,False,False
ENSDARG00000096315,False,False,False,False
ENSDARG00000013063,False,False,False,False
ENSDARG00000076364,False,False,False,False
ENSDARG00000027599,False,False,False,False
ENSDARG00000053713,False,False,False,False
ENSDARG00000058558,False,False,False,False
ENSDARG00000063030,False,False,False,False
ENSDARG00000026834,False,False,False,False
ENSDARG00000101076,False,False,False,False
ENSDARG00000056601,False,False,False,False
ENSDARG00000060207,False,False,False,False
ENSDARG00000100678,False,False,False,False
ENSDARG00000020261,False,False,False,False
ENSDARG00000043285,False,False,False,False
ENSDARG00000093366,False,False,False,False
ENSDARG00000101914,False,False,False,False
ENSDARG00000078309,False,False,False,False
ENSDARG00000003462,False,False,False,False
ENSDARG00000105355,False,False,False,False
ENSDARG00000090190,False,False,False,False
ENSDARG00000094423,False,False,False,False
ENSDARG00000095732,False,False,False,False
ENSDARG00000026862,False,False,False,False
ENSDARG00000005675,False,False,False,False
ENSDARG00000102798,False,False,False,False
ENSDARG00000103112,False,False,False,False
ENSDARG00000009273,False,False,False,True
ENSDARG00000092423,False,False,False,False
ENSDARG00000061169,False,False,False,True
ENSDARG00000019976,False,False,False,False
ENSDARG00000075569,False,False,False,False
ENSDARG00000081095,False,False,False,False
ENSDARG00000062967,False,False,False,False
ENSDARG00000089456,False,False,False,False
ENSDARG00000100623,False,False,False,False
ENSDARG00000013397,False,False,False,False
ENSDARG00000114676,False,False,False,False
ENSDARG00000113225,False,False,False,False
ENSDARG00000075842,False,False,False,False
ENSDARG00000094046,False,False,False,False
ENSDARG00000004074,False,False,False,False
ENSDARG00000081904,False,False,False,False
ENSDARG00000009942,False,False,False,True
ENSDARG00000031658,False,False,False,False
ENSDARG00000088539,False,False,False,False
ENSDARG00000080152,False,False,False,False
ENSDARG00000010098,False,False,False,False
ENSDARG00000019233,False,False,False,False
ENSDARG00000040984,False,False,False,False
ENSDARG00000016743,False,False,False,False
ENSDARG00000043474,False,False,False,False
ENSDARG00000068868,False,False,False,False
ENSDARG00000014003,False,False,False,True
ENSDARG00000099368,False,False,False,False
ENSDARG00000076687,False,False,False,False
ENSDARG00000077858,False,False,False,False
ENSDARG00000105431,False,False,False,False
ENSDARG00000001621,False,False,False,False
ENSDARG00000027589,False,False,False,False
ENSDARG00000010021,False,False,False,False
ENSDARG00000007278,False,False,False,False
ENSDARG00000042839,False,False,False,False
ENSDARG00000027813,False,False,False,False
ENSDARG00000020454,False,False,False,True
ENSDARG00000099257,False,False,False,False
ENSDARG00000003607,False,False,False,False
ENSDARG00000045935,False,False,False,False
ENSDARG00000019838,False,False,False,False
ENSDARG00000079876,False,False,False,False
ENSDARG00000069135,True,True,False,True
ENSDARG00000035810,False,False,False,True
ENSDARG00000060120,False,False,False,False
ENSDARG00000013333,False,False,False,True
ENSDARG00000096306,False,False,False,False
ENSDARG00000054213,False,False,False,True
ENSDARG00000101244,False,False,False,False
ENSDARG00000014465,False,False,False,False
ENSDARG00000052641,False,False,False,True
ENSDARG00000023031,False,False,False,False
ENSDARG00000083431,False,False,False,False
ENSDARG00000007245,False,False,False,False
ENSDARG00000007764,False,False,False,False
ENSDARG00000117556,False,False,False,False
ENSDARG00000041699,False,False,False,False
ENSDARG00000088351,False,False,False,False
ENSDARG00000101380,False,False,False,False
ENSDARG00000009693,False,False,False,True
ENSDARG00000094514,False,False,False,False
ENSDARG00000083247,False,False,False,False
ENSDARG00000068199,False,False,False,False
ENSDARG00000057058,False,False,False,False
ENSDARG00000058937,False,False,False,False
ENSDARG00000037675,False,False,False,True
ENSDARG00000097027,False,False,False,False
ENSDARG00000074244,False,False,False,False
ENSDARG00000015015,False,False,False,True
ENSDARG00000095857,False,False,False,False
ENSDARG00000010266,False,False,False,True
ENSDARG00000005576,False,False,False,True
ENSDARG00000104037,False,False,False,False
ENSDARG00000067984,False,False,False,False
ENSDARG00000088828,False,False,False,False
ENSDARG00000079183,False,False,False,False
ENSDARG00000073841,False,False,False,False
ENSDARG00000069109,False,False,False,False
ENSDARG00000009557,False,False,False,False
ENSDARG00000099692,False,False,False,False
ENSDARG00000113479,False,False,False,False
ENSDARG00000079067,False,False,False,False
ENSDARG00000021135,False,False,False,False
ENSDARG00000102310,False,False,False,False
ENSDARG00000010941,False,False,False,False
ENSDARG00000095844,False,False,False,False
ENSDARG00000044301,False,False,False,False
ENSDARG00000070127,False,False,False,False
ENSDARG00000018296,False,False,False,False
ENSDARG00000039900,False,False,False,False
ENSDARG00000093569,False,False,False,True
ENSDARG00000005980,False,False,False,False
ENSDARG00000059510,False,False,False,False
ENSDARG00000056193,False,False,False,False
ENSDARG00000103046,False,False,False,False
ENSDARG00000104468,False,False,False,False
ENSDARG00000115096,False,False,False,False
ENSDARG00000105079,False,False,False,False
ENSDARG00000037706,False,False,False,False
ENSDARG00000114798,False,False,False,False
ENSDARG00000109717,False,False,False,False
ENSDARG00000110357,False,False,False,False
ENSDARG00000060500,False,False,False,False
ENSDARG00000043687,False,False,False,False
ENSDARG00000077029,False,False,False,False
ENSDARG00000019564,False,False,False,False
ENSDARG00000019774,False,False,False,False
ENSDARG00000058729,False,False,False,False
ENSDARG00000070404,False,False,False,True
ENSDARG00000075517,False,False,False,False
ENSDARG00000052856,True,True,True,True
ENSDARG00000080698,False,False,False,False
ENSDARG00000039150,False,False,False,False
ENSDARG00000058354,False,False,False,False
ENSDARG00000013800,False,False,False,False
ENSDARG00000090977,False,False,False,False
ENSDARG00000075854,False,False,False,False
ENSDARG00000060380,False,False,False,False
ENSDARG00000101478,False,False,False,False
ENSDARG00000017874,False,False,False,False
ENSDARG00000056801,False,False,False,False
ENSDARG00000096270,False,False,False,False
ENSDARG00000076735,False,False,False,False
ENSDARG00000027649,False,False,False,False
ENSDARG00000020957,False,False,False,False
ENSDARG00000029952,False,False,False,True
ENSDARG00000032614,False,False,False,False
ENSDARG00000045669,False,False,False,False
ENSDARG00000011662,False,False,False,False
ENSDARG00000052450,False,False,False,False
ENSDARG00000095385,False,False,False,False
ENSDARG00000051857,False,False,False,False
ENSDARG00000042291,False,False,False,False
ENSDARG00000103379,False,False,False,False
ENSDARG00000075556,False,False,False,False
ENSDARG00000044491,False,False,False,False
ENSDARG00000092122,False,False,False,False
ENSDARG00000113056,False,False,False,False
ENSDARG00000062995,False,False,False,False
ENSDARG00000042946,False,False,False,False
ENSDARG00000103453,False,False,False,False
ENSDARG00000053301,False,False,False,False
ENSDARG00000103278,False,False,False,False
ENSDARG00000116122,False,False,False,False
ENSDARG00000079415,False,False,False,False
ENSDARG00000096539,False,False,False,False
ENSDARG00000036291,False,False,False,False
ENSDARG00000105718,False,False,False,False
ENSDARG00000095304,False,False,False,False
ENSDARG00000013087,False,False,False,False
ENSDARG00000103220,False,False,False,False
ENSDARG00000007231,False,False,False,True
ENSDARG00000101831,False,False,False,False
ENSDARG00000052766,False,False,False,False
ENSDARG00000068978,False,False,False,False
ENSDARG00000103015,False,False,False,False
ENSDARG00000095026,False,False,False,False
ENSDARG00000058128,False,False,False,False
ENSDARG00000075977,False,False,False,False
ENSDARG00000081078,False,False,False,False
ENSDARG00000104701,False,False,False,False
ENSDARG00000070939,False,False,False,False
ENSDARG00000045304,False,False,False,False
ENSDARG00000017772,False,False,False,False
ENSDARG00000038731,False,False,False,False
ENSDARG00000070981,False,False,False,False
ENSDARG00000077101,False,False,False,False
ENSDARG00000039701,False,False,False,False
ENSDARG00000071678,False,False,False,False
ENSDARG00000077341,False,False,False,False
ENSDARG00000054849,False,False,False,False
ENSDARG00000076896,False,False,False,False
ENSDARG00000043342,False,False,False,False
ENSDARG00000003699,False,False,False,False
ENSDARG00000042902,False,False,False,False
ENSDARG00000054864,False,False,False,False
ENSDARG00000039490,False,False,False,False
ENSDARG00000076657,False,False,False,False
ENSDARG00000040008,False,False,False,False
ENSDARG00000046030,False,False,False,False
ENSDARG00000105585,False,False,False,False
ENSDARG00000038205,False,False,False,False
ENSDARG00000023989,False,False,False,False
ENSDARG00000092896,False,False,False,False
ENSDARG00000081311,False,False,False,False
ENSDARG00000005185,False,False,False,True
ENSDARG00000081976,False,False,False,False
ENSDARG00000006896,False,False,False,False
ENSDARG00000096352,False,False,False,False
ENSDARG00000079760,False,False,False,True
ENSDARG00000043242,False,False,False,True
ENSDARG00000111753,False,False,False,False
ENSDARG00000100221,False,False,False,False
ENSDARG00000002031,False,False,False,False
ENSDARG00000070839,False,False,False,False
ENSDARG00000039269,False,True,False,False
ENSDARG00000102501,False,False,False,False
ENSDARG00000030644,False,False,False,False
ENSDARG00000037071,False,False,False,True
ENSDARG00000109897,False,False,False,False
ENSDARG00000025607,False,False,False,False
ENSDARG00000041581,False,False,False,False
ENSDARG00000059351,False,False,False,False
ENSDARG00000100952,False,False,False,False
ENSDARG00000101559,False,False,False,False
ENSDARG00000061644,False,False,False,False
ENSDARG00000041199,False,False,False,False
ENSDARG00000036868,False,False,False,True
ENSDARG00000051836,False,False,False,False
ENSDARG00000021193,False,False,False,False
ENSDARG00000057037,False,False,False,False
ENSDARG00000101717,False,False,False,False
ENSDARG00000046022,False,False,False,False
ENSDARG00000015732,False,False,False,False
ENSDARG00000037154,False,False,False,False
ENSDARG00000070607,False,False,False,False
ENSDARG00000012407,False,False,False,False
ENSDARG00000107337,False,False,False,False
ENSDARG00000036784,False,False,False,False
ENSDARG00000042467,False,False,False,True
ENSDARG00000053460,False,False,False,False
ENSDARG00000071658,False,False,False,True
ENSDARG00000008859,False,False,False,True
ENSDARG00000034493,False,False,False,False
ENSDARG00000026753,False,False,False,False
ENSDARG00000039439,False,False,False,False
ENSDARG00000037259,False,False,False,False
ENSDARG00000034855,False,False,False,True
ENSDARG00000011696,False,False,False,False
ENSDARG00000103274,False,False,False,False
ENSDARG00000040564,False,False,False,True
ENSDARG00000100446,False,False,False,False
ENSDARG00000091003,False,False,False,True
ENSDARG00000117297,False,False,False,False
ENSDARG00000074807,False,False,False,True
ENSDARG00000060308,False,False,False,False
ENSDARG00000070453,False,False,False,False
ENSDARG00000042345,False,False,False,False
ENSDARG00000071458,False,False,False,False
ENSDARG00000035869,False,False,False,True
ENSDARG00000092949,False,False,False,False
ENSDARG00000089302,False,True,False,True
ENSDARG00000008966,False,False,False,False
ENSDARG00000053554,False,False,False,False
ENSDARG00000075666,False,True,False,False
ENSDARG00000006921,False,False,False,False
ENSDARG00000100697,False,False,False,False
ENSDARG00000063169,False,False,False,False
ENSDARG00000006624,False,False,False,True
ENSDARG00000005590,False,False,False,True
ENSDARG00000078675,False,False,False,True
ENSDARG00000006332,False,False,False,False
ENSDARG00000075165,False,False,False,False
ENSDARG00000082942,False,False,False,False
ENSDARG00000097465,False,False,False,False
ENSDARG00000096658,False,False,False,False
ENSDARG00000096933,False,False,False,False
ENSDARG00000094133,False,False,False,False
ENSDARG00000061603,False,False,False,False
ENSDARG00000094192,False,False,False,False
ENSDARG00000078890,False,False,False,False
ENSDARG00000090690,False,False,False,False
ENSDARG00000039434,False,False,False,False
ENSDARG00000102674,False,False,False,False
ENSDARG00000053127,False,False,True,True
ENSDARG00000038687,False,False,False,False
ENSDARG00000011703,False,False,False,False
ENSDARG00000056550,False,False,False,False
ENSDARG00000026395,False,False,False,False
ENSDARG00000096879,False,False,False,False
ENSDARG00000110611,False,False,False,False
ENSDARG00000018898,False,True,False,True
ENSDARG00000088835,False,True,False,True
ENSDARG00000099376,False,False,False,False
ENSDARG00000010194,False,False,False,True
ENSDARG00000021916,False,False,False,False
ENSDARG00000097153,False,False,False,False
ENSDARG00000020676,False,False,False,False
ENSDARG00000105748,False,False,False,False
ENSDARG00000036774,False,False,False,False
ENSDARG00000062954,False,False,False,False
ENSDARG00000014041,False,False,False,True
ENSDARG00000016745,False,False,False,False
ENSDARG00000007377,False,False,False,False
ENSDARG00000076228,False,False,False,False
ENSDARG00000074456,False,False,False,False
ENSDARG00000032617,False,False,False,False
ENSDARG00000008494,False,False,False,True
ENSDARG00000104657,False,False,False,False
ENSDARG00000077877,True,True,False,False
ENSDARG00000099510,False,False,False,False
ENSDARG00000046014,False,False,False,False
ENSDARG00000029729,False,False,False,False
ENSDARG00000080682,False,False,False,False
ENSDARG00000041858,False,False,False,False
ENSDARG00000070351,False,False,False,False
ENSDARG00000074311,False,False,False,False
ENSDARG00000105594,False,False,False,False
ENSDARG00000056794,False,False,False,True
ENSDARG00000040822,False,False,False,False
ENSDARG00000097915,False,False,False,False
ENSDARG00000060845,False,False,False,False
ENSDARG00000014956,False,False,False,False
ENSDARG00000020239,False,False,False,False
ENSDARG00000094258,False,False,False,False
ENSDARG00000002347,False,False,False,True
ENSDARG00000115492,False,False,False,False
ENSDARG00000002021,False,False,False,False
ENSDARG00000019328,False,False,False,False
ENSDARG00000016496,False,False,False,True
ENSDARG00000018411,False,False,False,False
ENSDARG00000012513,False,False,False,False
ENSDARG00000079253,False,False,False,False
ENSDARG00000087916,False,False,False,False
ENSDARG00000009549,False,False,False,False
ENSDARG00000057465,False,False,False,False
ENSDARG00000056099,False,False,False,False
ENSDARG00000088140,False,False,False,False
ENSDARG00000079611,False,False,False,False
ENSDARG00000028099,False,False,False,False
ENSDARG00000040526,False,False,False,True
ENSDARG00000070553,False,False,False,True
ENSDARG00000099256,False,False,False,False
ENSDARG00000058818,False,False,False,True
ENSDARG00000041895,False,False,False,True
ENSDARG00000055294,False,False,False,False
ENSDARG00000089071,False,False,False,False
ENSDARG00000101471,False,False,False,False
ENSDARG00000007723,False,False,False,False
ENSDARG00000057513,False,False,False,True
ENSDARG00000058322,False,False,False,False
ENSDARG00000012057,False,False,False,False
ENSDARG00000029307,False,False,False,False
ENSDARG00000079478,False,False,False,False
ENSDARG00000106350,False,False,False,False
ENSDARG00000081224,False,False,False,False
ENSDARG00000115347,False,False,False,False
ENSDARG00000034504,False,False,False,True
ENSDARG00000061687,False,False,False,False
ENSDARG00000099909,False,False,False,False
ENSDARG00000054814,False,False,False,True
ENSDARG00000115944,False,False,False,False
ENSDARG00000104279,False,False,False,False
ENSDARG00000075564,False,False,False,True
ENSDARG00000029480,False,False,False,False
ENSDARG00000059235,False,False,False,False
ENSDARG00000062020,False,False,False,False
ENSDARG00000057167,False,False,False,True
ENSDARG00000076066,False,False,False,False
ENSDARG00000061684,False,False,False,False
ENSDARG00000075954,False,False,False,False
ENSDARG00000116736,False,False,False,False
ENSDARG00000023298,False,False,False,True
ENSDARG00000078803,False,False,False,True
ENSDARG00000030887,False,False,False,False
ENSDARG00000038297,False,False,False,False
ENSDARG00000060096,False,False,False,False
ENSDARG00000039466,False,False,False,False
ENSDARG00000062489,False,False,False,False
ENSDARG00000044328,False,False,False,False
ENSDARG00000074001,False,False,False,False
ENSDARG00000078574,False,False,False,False
ENSDARG00000102972,False,False,False,False
ENSDARG00000111514,False,False,False,False
ENSDARG00000053724,False,False,False,False
ENSDARG00000102833,False,False,False,False
ENSDARG00000089564,False,False,False,False
ENSDARG00000107213,False,False,False,False
ENSDARG00000017174,False,False,False,False
ENSDARG00000028800,False,False,False,True
ENSDARG00000090230,False,False,False,False
ENSDARG00000074057,False,False,False,False
ENSDARG00000040988,False,False,False,False
ENSDARG00000010160,False,False,False,True
ENSDARG00000080987,False,False,False,False
ENSDARG00000003311,False,False,False,False
ENSDARG00000031770,False,False,False,False
ENSDARG00000008127,False,False,False,False
ENSDARG00000006863,False,False,False,False
ENSDARG00000007244,False,False,False,False
ENSDARG00000077845,False,False,False,False
ENSDARG00000002230,False,False,False,False
ENSDARG00000026322,False,False,False,False
ENSDARG00000101636,False,False,False,False
ENSDARG00000070006,False,False,False,True
ENSDARG00000104242,False,False,False,False
ENSDARG00000096617,False,False,False,False
ENSDARG00000060751,False,False,False,False
ENSDARG00000077544,False,False,False,False
ENSDARG00000040487,False,False,False,False
ENSDARG00000110441,False,False,False,False
ENSDARG00000035835,False,False,False,False
ENSDARG00000027992,False,False,False,False
ENSDARG00000088440,False,False,False,False
ENSDARG00000112652,False,False,False,False
ENSDARG00000030289,False,False,False,True
ENSDARG00000096780,False,False,False,False
ENSDARG00000006782,False,False,False,True
ENSDARG00000042145,False,False,False,False
ENSDARG00000006791,False,False,False,False
ENSDARG00000058133,False,False,False,False
ENSDARG00000032801,False,False,False,False
ENSDARG00000094169,False,False,False,False
ENSDARG00000101735,False,False,False,False
ENSDARG00000074074,False,False,False,False
ENSDARG00000104372,False,False,False,False
ENSDARG00000036569,False,False,False,False
ENSDARG00000062956,False,False,False,False
ENSDARG00000113257,False,False,False,False
