Gene,"first-wave transcribed genes (Lee, et al. 2013, Nature)","early ZGA genes (Heyn, et al. 2014, Cell Rep)","down-regulated in nanog MO 4hpf (Lee, et al. 2013,  Nature)","down-regulated in nanog MO 6hpf (Lee, et al. 2013,  Nature)"
ENSDARG00000094668,False,False,False,False
ENSDARG00000055607,False,False,False,False
ENSDARG00000083269,False,False,False,False
ENSDARG00000058818,False,False,False,True
ENSDARG00000074498,False,False,False,False
ENSDARG00000039499,False,False,False,False
ENSDARG00000014854,False,False,False,False
ENSDARG00000015552,False,False,False,False
ENSDARG00000055064,False,False,False,False
ENSDARG00000015266,False,False,False,False
ENSDARG00000076796,False,False,False,False
ENSDARG00000117085,False,False,False,False
ENSDARG00000101343,False,False,False,False
ENSDARG00000112453,False,False,False,False
ENSDARG00000111976,False,False,False,False
ENSDARG00000079876,False,False,False,False
ENSDARG00000082871,False,False,False,False
ENSDARG00000005652,False,False,False,False
ENSDARG00000007244,False,False,False,False
ENSDARG00000011662,False,False,False,False
ENSDARG00000087330,False,False,False,False
ENSDARG00000112564,False,False,False,False
ENSDARG00000093614,False,False,False,False
ENSDARG00000005738,False,False,False,False
ENSDARG00000076239,False,False,False,False
ENSDARG00000058696,False,False,False,True
ENSDARG00000100446,False,False,False,False
ENSDARG00000018825,False,False,False,False
ENSDARG00000077052,False,False,False,False
ENSDARG00000109762,False,False,False,False
ENSDARG00000117227,False,False,False,False
ENSDARG00000100252,False,False,False,False
ENSDARG00000113702,False,False,False,False
ENSDARG00000076015,False,False,False,False
ENSDARG00000102850,False,False,False,False
ENSDARG00000110936,False,False,False,False
ENSDARG00000030573,False,False,False,False
ENSDARG00000060207,False,False,False,False
ENSDARG00000100950,False,False,False,False
ENSDARG00000105465,False,False,False,False
ENSDARG00000026322,False,False,False,False
ENSDARG00000069135,True,True,False,True
ENSDARG00000023002,False,False,False,True
ENSDARG00000002339,False,False,False,False
ENSDARG00000063509,False,False,False,False
ENSDARG00000105934,False,False,False,False
ENSDARG00000090366,False,False,False,False
ENSDARG00000102950,False,False,False,False
ENSDARG00000061763,False,False,False,False
ENSDARG00000093650,False,False,False,False
ENSDARG00000040048,False,False,False,False
ENSDARG00000010878,True,False,False,False
ENSDARG00000039458,False,False,False,False
ENSDARG00000062577,False,False,False,False
ENSDARG00000104549,False,False,False,False
ENSDARG00000105718,False,False,False,False
ENSDARG00000026855,False,False,False,False
ENSDARG00000019596,False,False,False,False
ENSDARG00000037929,False,False,False,False
ENSDARG00000017636,False,False,False,False
ENSDARG00000008098,False,False,False,False
ENSDARG00000103144,False,False,False,False
ENSDARG00000055305,False,False,False,False
ENSDARG00000012506,False,False,False,False
ENSDARG00000062463,False,False,False,False
ENSDARG00000101019,False,False,False,False
ENSDARG00000070513,False,False,False,False
ENSDARG00000039828,False,False,False,False
ENSDARG00000083158,False,False,False,False
ENSDARG00000052674,False,False,False,False
ENSDARG00000028106,False,False,False,False
ENSDARG00000016837,False,False,False,False
ENSDARG00000037259,False,False,False,False
ENSDARG00000029761,False,False,False,False
ENSDARG00000059826,False,False,False,False
ENSDARG00000016794,False,False,False,False
ENSDARG00000105243,False,False,False,False
ENSDARG00000030803,False,False,False,False
ENSDARG00000009693,False,False,False,True
ENSDARG00000099612,False,False,False,False
ENSDARG00000077526,False,False,False,False
ENSDARG00000107054,False,False,False,False
ENSDARG00000062954,False,False,False,False
ENSDARG00000077638,False,False,False,False
ENSDARG00000115123,False,False,False,False
ENSDARG00000081638,False,False,False,False
ENSDARG00000057912,False,False,False,True
ENSDARG00000071375,False,False,False,False
ENSDARG00000022996,False,False,False,True
ENSDARG00000043531,False,False,False,False
ENSDARG00000035858,False,False,False,True
ENSDARG00000055610,False,False,False,False
ENSDARG00000015240,False,False,False,False
ENSDARG00000059121,False,False,False,False
ENSDARG00000056885,False,False,False,False
ENSDARG00000075107,False,False,False,False
ENSDARG00000112235,False,False,False,False
ENSDARG00000102744,False,False,False,False
ENSDARG00000101659,False,False,False,False
ENSDARG00000075561,False,False,False,False
ENSDARG00000055730,False,False,False,False
ENSDARG00000003217,False,False,False,False
ENSDARG00000090830,False,False,False,False
ENSDARG00000056587,False,False,False,False
ENSDARG00000034117,False,False,False,False
ENSDARG00000056318,False,False,False,True
ENSDARG00000056369,False,False,False,False
ENSDARG00000026068,False,False,False,False
ENSDARG00000105359,False,False,False,False
ENSDARG00000090836,False,False,False,False
ENSDARG00000076218,False,False,False,False
ENSDARG00000007077,False,False,False,False
ENSDARG00000069701,False,False,False,False
ENSDARG00000113703,False,False,False,False
ENSDARG00000020079,False,False,False,False
ENSDARG00000108939,False,False,False,False
ENSDARG00000074074,False,False,False,False
ENSDARG00000016532,False,False,False,False
ENSDARG00000005479,False,False,False,False
ENSDARG00000034493,False,False,False,False
ENSDARG00000013997,False,False,False,False
ENSDARG00000036076,False,False,False,False
ENSDARG00000102009,False,False,False,False
ENSDARG00000112572,False,False,False,False
ENSDARG00000013168,False,False,False,False
ENSDARG00000103133,False,False,False,False
ENSDARG00000076978,False,False,False,False
ENSDARG00000045296,False,False,False,True
ENSDARG00000031845,False,False,False,False
ENSDARG00000045428,False,False,False,False
ENSDARG00000037965,False,False,False,True
ENSDARG00000044900,False,False,False,False
ENSDARG00000092282,False,False,False,False
ENSDARG00000101493,False,False,False,False
ENSDARG00000104588,False,False,False,False
ENSDARG00000076308,False,False,False,False
ENSDARG00000099361,False,False,False,False
ENSDARG00000007597,False,False,False,False
ENSDARG00000034093,False,False,False,False
ENSDARG00000110103,False,False,False,False
ENSDARG00000115267,False,False,False,False
ENSDARG00000042477,False,False,False,False
ENSDARG00000077384,False,False,False,False
ENSDARG00000060539,False,False,False,False
ENSDARG00000102068,False,False,False,False
ENSDARG00000101437,False,False,False,False
ENSDARG00000040070,False,False,False,False
ENSDARG00000034893,False,False,False,True
ENSDARG00000112903,False,False,False,False
ENSDARG00000015002,False,False,False,False
ENSDARG00000014230,False,False,False,False
ENSDARG00000079472,False,False,False,False
ENSDARG00000056214,False,False,False,False
ENSDARG00000033251,False,False,False,False
ENSDARG00000076592,False,False,False,False
ENSDARG00000071566,False,False,False,False
ENSDARG00000098025,False,False,False,False
ENSDARG00000056794,False,False,False,True
ENSDARG00000103347,False,False,False,False
ENSDARG00000039423,False,False,False,False
ENSDARG00000087916,False,False,False,False
ENSDARG00000034956,False,False,False,False
ENSDARG00000036109,False,False,False,False
ENSDARG00000068432,False,False,False,True
ENSDARG00000112587,False,False,False,False
ENSDARG00000069113,False,False,False,False
ENSDARG00000101102,False,False,False,False
ENSDARG00000057074,False,False,False,False
ENSDARG00000097635,False,False,False,False
ENSDARG00000017571,False,False,False,True
ENSDARG00000001463,False,False,False,False
ENSDARG00000061579,False,False,False,False
ENSDARG00000023290,False,False,False,False
ENSDARG00000053459,False,False,False,True
ENSDARG00000015174,False,False,False,False
ENSDARG00000098414,False,False,False,False
ENSDARG00000040700,False,False,False,False
ENSDARG00000028071,False,False,False,False
ENSDARG00000107130,False,False,False,False
ENSDARG00000052396,False,False,False,False
ENSDARG00000039272,False,False,False,False
ENSDARG00000092277,False,False,False,False
ENSDARG00000053404,False,False,False,False
ENSDARG00000071001,False,False,False,False
ENSDARG00000063075,False,False,False,False
ENSDARG00000096867,False,False,False,False
ENSDARG00000091128,False,False,False,False
ENSDARG00000087407,False,False,False,False
ENSDARG00000045015,False,False,False,False
ENSDARG00000058165,False,False,False,False
ENSDARG00000042032,False,False,False,False
ENSDARG00000103443,False,False,False,False
ENSDARG00000059466,False,False,False,False
ENSDARG00000100454,False,False,False,False
ENSDARG00000006939,False,False,False,True
ENSDARG00000069314,False,False,False,False
ENSDARG00000089913,False,False,False,False
ENSDARG00000037174,False,False,False,False
ENSDARG00000089529,False,False,False,False
ENSDARG00000101008,False,False,False,False
ENSDARG00000099441,False,False,False,False
ENSDARG00000077606,False,False,False,False
ENSDARG00000009161,False,False,False,False
ENSDARG00000005364,False,False,False,False
ENSDARG00000086405,False,False,False,False
ENSDARG00000090747,False,False,False,False
ENSDARG00000104481,False,False,False,False
ENSDARG00000070401,False,False,False,False
ENSDARG00000099733,False,False,False,False
ENSDARG00000088308,False,False,False,False
ENSDARG00000074739,False,False,False,False
ENSDARG00000003109,False,False,False,False
ENSDARG00000097115,False,False,False,False
ENSDARG00000103784,False,False,False,False
ENSDARG00000019233,False,False,False,False
ENSDARG00000027423,False,False,False,False
ENSDARG00000091771,False,False,False,False
ENSDARG00000104515,False,False,False,False
ENSDARG00000097027,False,False,False,False
ENSDARG00000080952,False,False,False,False
ENSDARG00000053194,False,False,False,False
ENSDARG00000028389,False,False,False,False
ENSDARG00000036878,False,False,False,False
ENSDARG00000030335,False,False,False,False
ENSDARG00000099989,False,False,False,False
ENSDARG00000024381,False,False,False,True
ENSDARG00000095692,False,False,False,False
ENSDARG00000038075,False,False,False,False
ENSDARG00000027182,False,False,False,False
ENSDARG00000070425,False,False,False,False
ENSDARG00000030832,False,False,False,False
ENSDARG00000063223,False,False,False,False
ENSDARG00000077434,False,False,False,False
ENSDARG00000016290,False,False,False,False
ENSDARG00000107253,False,False,False,False
ENSDARG00000069893,False,False,False,False
ENSDARG00000093779,False,False,False,False
ENSDARG00000105382,False,False,False,False
ENSDARG00000097532,False,False,False,False
ENSDARG00000022438,False,False,False,False
ENSDARG00000041581,False,False,False,False
ENSDARG00000076735,False,False,False,False
ENSDARG00000088140,False,False,False,False
ENSDARG00000069619,False,False,False,False
ENSDARG00000019564,False,False,False,False
ENSDARG00000083122,False,False,False,False
ENSDARG00000043905,False,False,False,False
ENSDARG00000117649,False,False,False,False
ENSDARG00000105102,False,False,False,False
ENSDARG00000092112,False,False,False,False
ENSDARG00000045837,False,False,False,False
ENSDARG00000081895,False,False,False,False
ENSDARG00000102394,False,False,False,False
ENSDARG00000058448,False,False,False,True
ENSDARG00000038094,False,False,False,False
ENSDARG00000004243,False,False,False,False
ENSDARG00000013533,False,False,False,False
