Gene,first-wave transcribed genes,early ZGA genes,Nanog binding cluster (NBC) target,"down-regulated in nanog MO 4hpf (Lee, et al. 2013 Nature)","down-regulated in nanog MO 6hpf (Lee, et al. 2013 Nature)"
ENSDARG00000016260,False,False,False,False,False
ENSDARG00000083583,False,False,False,False,False
ENSDARG00000109864,False,False,False,False,False
ENSDARG00000113674,False,False,False,False,False
ENSDARG00000116477,False,False,False,False,False
ENSDARG00000097933,False,False,False,False,False
ENSDARG00000101400,False,False,False,False,False
ENSDARG00000061517,False,False,False,False,False
ENSDARG00000005246,False,False,False,False,False
ENSDARG00000103961,False,False,False,False,False
ENSDARG00000095642,False,False,False,False,False
ENSDARG00000094105,False,False,True,False,False
ENSDARG00000109726,False,False,False,False,False
ENSDARG00000079939,False,False,False,False,False
ENSDARG00000016307,False,False,False,False,False
ENSDARG00000011727,False,False,False,False,False
ENSDARG00000032242,False,False,False,False,False
ENSDARG00000071341,False,False,False,False,False
ENSDARG00000077236,False,False,False,False,False
ENSDARG00000019213,False,False,False,False,False
ENSDARG00000070914,True,True,True,True,True
ENSDARG00000107962,False,False,False,False,False
ENSDARG00000060374,False,False,False,False,False
ENSDARG00000100121,False,False,False,False,False
ENSDARG00000096506,False,False,False,False,False
ENSDARG00000086679,False,False,False,False,False
ENSDARG00000001549,False,False,False,False,True
ENSDARG00000029072,False,False,False,False,False
ENSDARG00000044074,False,False,False,False,False
ENSDARG00000019496,False,False,False,False,False
ENSDARG00000011487,False,False,False,False,False
ENSDARG00000080372,False,False,False,False,False
ENSDARG00000007406,False,False,False,False,False
ENSDARG00000055831,True,True,False,False,False
ENSDARG00000097065,False,False,False,False,False
ENSDARG00000110053,False,False,False,False,False
ENSDARG00000103283,False,False,False,False,False
ENSDARG00000094024,False,False,True,False,False
ENSDARG00000095635,True,True,True,True,True
ENSDARG00000093284,True,False,False,True,True
ENSDARG00000052387,False,False,False,False,False
ENSDARG00000054288,False,False,False,False,False
ENSDARG00000117336,False,False,False,False,False
ENSDARG00000089781,False,False,False,False,False
ENSDARG00000028017,True,True,False,False,False
ENSDARG00000079078,False,False,False,False,False
ENSDARG00000109652,False,False,False,False,False
ENSDARG00000090981,False,False,True,False,False
ENSDARG00000115901,False,False,False,False,False
ENSDARG00000091757,False,False,False,False,False
ENSDARG00000077881,False,False,False,False,False
ENSDARG00000011273,False,False,False,False,False
ENSDARG00000117320,False,False,True,False,False
ENSDARG00000078285,False,False,False,False,False
ENSDARG00000096144,False,False,False,False,False
ENSDARG00000073696,False,False,False,True,False
ENSDARG00000023916,False,False,False,False,False
ENSDARG00000114798,False,False,False,False,False
ENSDARG00000111781,False,False,False,False,False
ENSDARG00000112740,False,False,False,False,False
ENSDARG00000070961,False,False,False,False,False
ENSDARG00000038141,False,True,False,False,True
ENSDARG00000116261,False,False,False,False,False
ENSDARG00000062139,False,False,False,False,False
ENSDARG00000025340,False,False,False,False,False
ENSDARG00000101593,False,False,False,False,False
ENSDARG00000068822,False,False,False,False,False
ENSDARG00000102458,False,False,False,False,False
ENSDARG00000099919,False,False,False,False,False
ENSDARG00000071555,False,False,False,False,False
ENSDARG00000057000,False,False,False,False,False
ENSDARG00000099291,False,False,False,False,False
ENSDARG00000060005,False,False,True,False,False
ENSDARG00000101093,False,False,False,False,False
ENSDARG00000098946,False,False,True,False,False
ENSDARG00000070452,False,False,False,False,False
ENSDARG00000094881,False,False,False,False,False
ENSDARG00000075743,False,False,False,False,False
ENSDARG00000096957,False,False,False,False,False
ENSDARG00000052334,False,False,True,False,False
ENSDARG00000112506,False,False,False,False,False
ENSDARG00000056793,False,False,False,False,False
ENSDARG00000077722,False,False,False,False,False
ENSDARG00000034138,True,True,True,True,True
ENSDARG00000082556,False,False,False,False,False
ENSDARG00000062632,False,False,False,False,True
ENSDARG00000043901,False,False,False,False,False
ENSDARG00000115383,False,False,False,False,False
ENSDARG00000115833,False,False,False,False,False
ENSDARG00000045064,False,False,False,False,False
ENSDARG00000053829,False,False,True,False,False
ENSDARG00000109841,False,False,False,False,False
ENSDARG00000019426,False,False,False,False,True
ENSDARG00000075333,False,False,True,False,False
ENSDARG00000024560,False,False,False,False,False
ENSDARG00000092800,False,False,False,False,False
ENSDARG00000053074,False,False,False,False,False
ENSDARG00000009046,False,False,False,False,False
ENSDARG00000079317,False,False,False,False,False
ENSDARG00000115818,False,False,False,False,False
ENSDARG00000039093,False,False,False,False,False
ENSDARG00000018121,False,False,False,False,False
ENSDARG00000030644,False,False,False,False,False
ENSDARG00000113299,False,False,False,False,False
ENSDARG00000068820,False,False,False,False,False
ENSDARG00000004445,False,False,False,False,False
ENSDARG00000094547,False,False,False,False,False
ENSDARG00000079160,False,False,False,False,False
ENSDARG00000039455,False,False,False,False,True
ENSDARG00000018534,False,False,False,False,False
ENSDARG00000061101,False,False,False,False,False
ENSDARG00000061640,False,False,False,False,False
ENSDARG00000089090,False,False,False,False,False
ENSDARG00000117705,False,False,True,False,False
ENSDARG00000071658,False,False,False,False,True
ENSDARG00000030844,False,False,False,False,False
ENSDARG00000096992,False,False,False,False,False
ENSDARG00000055647,False,True,False,True,True
ENSDARG00000087709,False,False,False,False,False
ENSDARG00000042345,False,False,False,False,False
ENSDARG00000096829,False,False,False,False,False
ENSDARG00000078608,False,False,False,False,False
ENSDARG00000045626,False,False,False,False,False
ENSDARG00000071150,False,False,False,False,False
ENSDARG00000077745,False,False,False,False,False
ENSDARG00000069196,False,False,False,False,False
ENSDARG00000079238,False,False,False,False,False
ENSDARG00000043509,False,False,True,False,True
ENSDARG00000057942,False,False,False,False,False
ENSDARG00000078183,False,False,False,False,False
ENSDARG00000080608,False,False,True,False,False
ENSDARG00000101197,False,False,False,False,False
ENSDARG00000017687,False,False,False,False,False
ENSDARG00000105634,False,False,False,False,False
ENSDARG00000022303,False,False,False,False,False
ENSDARG00000117593,False,False,False,False,False
