,chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,contain nanog motif
0,chr1,179386,179551,Nanog_256_peak_2,144,.,10.7386,18.30904,14.4604,60,False
1,chr1,1029004,1029315,Nanog_256_peak_12,222,.,14.144129999999999,26.51397,22.29107,259,False
2,chr1,1133924,1134067,Nanog_256_peak_14,224,.,13.757639999999999,26.66545,22.43688,44,False
3,chr1,1402643,1402781,Nanog_256_peak_20,311,.,17.67902,35.76361,31.18747,72,False
4,chr1,2260182,2260365,Nanog_256_peak_29,156,.,11.19356,19.60966,15.696670000000001,81,False
5,chr1,3516395,3516526,Nanog_256_peak_38,197,.,12.72312,23.89911,19.783379999999998,64,True
6,chr1,4210535,4210703,Nanog_256_peak_44,255,.,15.289029999999999,29.89367,25.53487,122,False
7,chr1,4724837,4725091,Nanog_256_peak_47,185,.,10.06056,22.631870000000003,18.572470000000003,164,False
8,chr1,5013915,5014033,Nanog_256_peak_53,207,.,13.30582,24.94339,20.78685,51,False
9,chr1,5111626,5111843,Nanog_256_peak_54,451,.,16.992729999999998,50.11118,45.10232,119,False
10,chr1,5966024,5966175,Nanog_256_peak_65,178,.,11.81295,21.85718,17.834220000000002,86,True
11,chr1,7064960,7065459,Nanog_256_peak_77,290,.,12.00278,33.53187,29.03707,455,True
12,chr1,7916826,7916978,Nanog_256_peak_92,201,.,12.956760000000001,24.3139,20.18245,102,False
13,chr1,10107499,10107778,Nanog_256_peak_123,384,.,16.16187,43.26723,38.43975,150,True
14,chr1,10598838,10599397,Nanog_256_peak_131,437,.,11.47101,48.76944,43.7967,407,True
15,chr1,11495601,11495757,Nanog_256_peak_142,181,.,12.23639,22.20502,18.16582,66,False
16,chr1,11878269,11878504,Nanog_256_peak_147,172,.,10.843010000000001,21.20506,17.21432,89,False
17,chr1,12046360,12046480,Nanog_256_peak_148,132,.,10.10295,17.03138,13.25026,68,False
18,chr1,12277500,12277723,Nanog_256_peak_152,212,.,13.06011,25.45606,21.27609,120,False
19,chr1,13597725,13597979,Nanog_256_peak_163,547,.,25.04503,60.06985,54.79996,59,False
20,chr1,13603004,13603149,Nanog_256_peak_164,275,.,15.595,32.01214,27.57232,81,True
21,chr1,14509841,14510118,Nanog_256_peak_176,243,.,11.42724,28.626959999999997,24.31869,114,False
22,chr1,15330741,15330918,Nanog_256_peak_178,169,.,10.99532,20.94629,16.96845,48,False
23,chr1,15518043,15518204,Nanog_256_peak_179,445,.,19.788,49.5159,44.52375,102,True
24,chr1,15927146,15927405,Nanog_256_peak_185,210,.,11.91554,25.211270000000003,21.0413,165,False
25,chr1,17209601,17209716,Nanog_256_peak_193,141,.,10.5881,17.9889,14.15821,37,False
26,chr1,17264545,17264678,Nanog_256_peak_194,142,.,10.65204,18.119770000000003,14.2827,79,False
27,chr1,17857291,17857503,Nanog_256_peak_199,316,.,16.24835,36.25972,31.66687,75,True
28,chr1,18710701,18711013,Nanog_256_peak_211,201,.,12.3448,24.24168,20.11281,102,False
29,chr1,19649928,19650356,Nanog_256_peak_222,806,.,21.23516,86.46358000000001,80.68215,68,False
30,chr1,21209750,21209870,Nanog_256_peak_233,159,.,10.94737,19.92238,15.993310000000001,70,False
31,chr1,21291770,21291999,Nanog_256_peak_234,288,.,14.523779999999999,33.354859999999995,28.86685,84,False
32,chr1,21296998,21297311,Nanog_256_peak_235,184,.,10.6288,22.47949,18.42662,71,True
33,chr1,23352940,23353086,Nanog_256_peak_249,165,.,11.75252,20.54025,16.58163,79,False
34,chr1,23489833,23489976,Nanog_256_peak_252,172,.,11.692110000000001,21.22069,17.2287,79,True
35,chr1,24233353,24233491,Nanog_256_peak_261,171,.,11.85201,21.15067,17.16235,69,True
36,chr1,24614710,24614897,Nanog_256_peak_262,146,.,10.74571,18.49185,14.634089999999999,63,False
37,chr1,24873273,24873705,Nanog_256_peak_266,763,.,20.03341,82.04601,76.34183,207,True
38,chr1,24938677,24939047,Nanog_256_peak_270,232,.,11.16314,27.5321,23.26861,143,True
39,chr1,25494060,25494181,Nanog_256_peak_276,160,.,10.71017,19.98031,16.04842,69,False
40,chr1,25565949,25566048,Nanog_256_peak_277,322,.,18.46353,36.8941,32.27582,52,False
41,chr1,25687568,25687773,Nanog_256_peak_280,158,.,10.8675,19.78577,15.86411,121,False
42,chr1,25801445,25801627,Nanog_256_peak_281,479,.,21.844739999999998,53.00723000000001,47.916579999999996,61,False
43,chr1,26071550,26071783,Nanog_256_peak_283,206,.,12.66267,24.77872,20.6294,55,False
44,chr1,26394330,26394622,Nanog_256_peak_288,220,.,11.8188,26.237509999999997,22.02518,48,False
45,chr1,26617386,26617790,Nanog_256_peak_290,250,.,11.48602,29.35884,25.01935,147,True
46,chr1,26642727,26642968,Nanog_256_peak_291,225,.,13.827979999999998,26.78916,22.55489,132,True
47,chr1,26673379,26673837,Nanog_256_peak_293,305,.,13.571679999999999,35.095290000000006,30.5428,239,False
48,chr1,26851277,26851449,Nanog_256_peak_297,153,.,10.559339999999999,19.262520000000002,15.36628,43,False
49,chr1,26915065,26915305,Nanog_256_peak_301,299,.,12.13585,34.444790000000005,29.916040000000002,198,True
50,chr1,27135948,27136229,Nanog_256_peak_304,216,.,10.90205,25.854870000000002,21.65754,162,True
51,chr1,27541952,27542051,Nanog_256_peak_305,193,.,13.01549,23.41604,19.323620000000002,51,False
52,chr1,27561250,27561512,Nanog_256_peak_306,269,.,15.55212,31.37824,26.96173,86,False
53,chr1,29226861,29226981,Nanog_256_peak_317,197,.,12.72312,23.89911,19.783379999999998,49,False
54,chr1,29463066,29463377,Nanog_256_peak_318,247,.,13.51694,29.09365,24.764879999999998,195,True
55,chr1,29855194,29855529,Nanog_256_peak_322,523,.,17.58855,57.59141999999999,52.37684,98,False
56,chr1,29893980,29894230,Nanog_256_peak_324,327,.,16.54184,37.43058,32.793409999999994,93,False
57,chr1,30075199,30075348,Nanog_256_peak_327,417,.,19.89629,46.661609999999996,41.73976,52,True
58,chr1,30188011,30188167,Nanog_256_peak_329,189,.,12.65214,22.98316,18.90878,70,False
59,chr1,31421398,31421623,Nanog_256_peak_336,265,.,14.233410000000001,30.91866,26.518420000000003,134,False
60,chr1,31534010,31534168,Nanog_256_peak_338,198,.,10.81443,23.9348,19.817079999999997,67,True
61,chr1,31544623,31544828,Nanog_256_peak_339,290,.,15.02687,33.539840000000005,29.04455,101,True
62,chr1,31725001,31725133,Nanog_256_peak_340,167,.,11.592369999999999,20.66814,16.7033,75,True
63,chr1,31762621,31762805,Nanog_256_peak_341,163,.,11.64343,20.30444,16.35644,91,False
64,chr1,32425102,32425207,Nanog_256_peak_344,134,.,10.22002,17.25714,13.464279999999999,34,False
65,chr1,33047821,33047993,Nanog_256_peak_347,198,.,12.755980000000001,23.957160000000002,19.83897,113,False
66,chr1,33647507,33647664,Nanog_256_peak_352,179,.,11.29265,21.9528,17.92559,100,False
67,chr1,34138065,34138256,Nanog_256_peak_356,244,.,14.894039999999999,28.7157,24.40345,99,True
68,chr1,34350740,34350935,Nanog_256_peak_357,193,.,11.515039999999999,23.40144,19.3093,61,False
69,chr1,34355783,34356205,Nanog_256_peak_358,194,.,10.56259,23.50235,19.40596,240,True
70,chr1,36443111,36443341,Nanog_256_peak_376,483,.,16.68473,53.43996,48.33632,93,False
71,chr1,38173699,38173894,Nanog_256_peak_393,267,.,11.12715,31.18832,26.77935,122,True
72,chr1,38708515,38709063,Nanog_256_peak_403,283,.,13.45774,32.868759999999995,28.39805,323,True
73,chr1,39872703,39873139,Nanog_256_peak_423,380,.,16.76365,42.82673,38.0118,159,True
74,chr1,40120554,40120805,Nanog_256_peak_429,224,.,13.118870000000001,26.64456,22.41711,65,False
75,chr1,40131683,40131846,Nanog_256_peak_430,370,.,16.64109,41.8758,37.08958,75,True
76,chr1,40481406,40481613,Nanog_256_peak_433,258,.,14.907570000000002,30.25453,25.8798,181,False
77,chr1,40518119,40518304,Nanog_256_peak_434,209,.,12.843060000000001,25.08525,20.92145,60,True
78,chr1,40647210,40647503,Nanog_256_peak_435,340,.,15.673960000000001,38.76575,34.07998,254,False
79,chr1,40912786,40913175,Nanog_256_peak_438,358,.,12.20549,40.58419,35.84109,195,True
80,chr1,40966821,40966973,Nanog_256_peak_441,136,.,10.01585,17.49855,13.69259,105,False
81,chr1,43835951,43836070,Nanog_256_peak_469,155,.,10.90553,19.43485,15.53084,78,True
82,chr1,44012888,44013170,Nanog_256_peak_473,367,.,16.46189,41.568,36.7919,168,True
83,chr1,45003116,45003353,Nanog_256_peak_486,211,.,11.27256,25.30643,21.13271,139,False
84,chr1,46115029,46115352,Nanog_256_peak_498,353,.,12.93812,40.08313,35.35686,169,True
85,chr1,46832653,46832917,Nanog_256_peak_509,335,.,13.39949,38.222590000000004,33.55657,151,False
86,chr1,47122822,47122981,Nanog_256_peak_514,169,.,11.54112,20.95345,16.97523,77,True
87,chr1,47177157,47177407,Nanog_256_peak_516,252,.,10.95052,29.599220000000003,25.25035,117,True
88,chr1,47824603,47824790,Nanog_256_peak_523,248,.,13.9505,29.211370000000002,24.87828,130,True
