,chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,contain nanog motif,1k-cell new peak,in genome bin binding from 256-cell
0,chr1,602268,602741,Nanog_1k_peak_6,158,.,10.303360000000001,19.30213,15.86219,203,True,True,False
1,chr1,1028988,1029321,Nanog_1k_peak_13,437,.,21.16626,48.11922,43.70037,281,False,False,True
2,chr1,1133931,1134198,Nanog_1k_peak_16,217,.,12.416139999999999,25.46789,21.77555,35,False,False,True
3,chr1,1327032,1327383,Nanog_1k_peak_19,151,.,10.79169,18.58001,15.17252,220,False,True,False
4,chr1,1402575,1402781,Nanog_1k_peak_21,385,.,20.303060000000002,42.76399,38.50436,153,False,False,True
5,chr1,2308336,2308608,Nanog_1k_peak_38,150,.,10.55034,18.43499,15.03384,87,True,True,False
6,chr1,2667955,2668169,Nanog_1k_peak_41,306,.,17.097839999999998,34.684129999999996,30.670679999999997,81,True,True,False
7,chr1,3100014,3100156,Nanog_1k_peak_44,158,.,11.21214,19.32338,15.88269,69,False,True,False
8,chr1,3299897,3300029,Nanog_1k_peak_47,158,.,10.57714,19.292579999999997,15.85294,47,False,True,False
9,chr1,3507008,3507262,Nanog_1k_peak_48,142,.,10.09672,17.63834,14.27339,144,True,True,True
10,chr1,3516258,3516552,Nanog_1k_peak_49,444,.,20.35369,48.93499,44.49168,194,True,False,True
11,chr1,3647931,3648041,Nanog_1k_peak_51,155,.,10.39102,18.97899,15.55292,52,False,True,False
12,chr1,4210517,4210699,Nanog_1k_peak_53,423,.,21.14085,46.70947,42.33447,123,False,False,True
13,chr1,4724830,4725087,Nanog_1k_peak_62,185,.,10.05954,22.06961,18.51141,182,False,False,True
14,chr1,5013915,5014033,Nanog_1k_peak_70,285,.,16.78819,32.49752,28.55723,48,False,False,True
15,chr1,5111604,5111843,Nanog_1k_peak_73,308,.,13.092889999999999,34.910070000000005,30.889940000000003,133,False,False,True
16,chr1,5274470,5274634,Nanog_1k_peak_79,249,.,13.295279999999998,28.72235,24.911170000000002,86,False,True,False
17,chr1,5279026,5279149,Nanog_1k_peak_80,217,.,12.02414,25.392889999999998,21.70329,85,False,True,False
18,chr1,5436490,5436629,Nanog_1k_peak_81,257,.,15.12105,29.5867,25.7448,70,False,True,False
19,chr1,5533959,5534232,Nanog_1k_peak_85,348,.,14.97282,38.978159999999995,34.83133,48,True,True,False
