,chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,FitCUT&RUN specific,contain nanog motif,dome new peak
0,chr1,36640,36734,Nanog_dome_peak_2,204,.,12.89148,23.44346,20.47917,56,True,False,True
1,chr1,93257,93508,Nanog_dome_peak_5,284,.,15.02294,31.62636,28.4887,145,False,False,True
2,chr1,179361,179525,Nanog_dome_peak_8,433,.,21.83145,46.76012,43.3585,70,True,False,False
3,chr1,214165,214348,Nanog_dome_peak_10,217,.,13.37965,24.70194,21.70886,82,True,False,True
4,chr1,643658,643904,Nanog_dome_peak_19,241,.,12.40043,27.22032,24.17191,51,False,False,True
5,chr1,655832,656074,Nanog_dome_peak_23,531,.,22.61744,56.70216,53.151180000000004,87,False,False,True
6,chr1,1029181,1029335,Nanog_dome_peak_29,155,.,10.7591,18.34163,15.50661,75,True,False,False
7,chr1,1143216,1143380,Nanog_dome_peak_32,206,.,13.08049,23.571579999999997,20.60428,58,True,True,True
8,chr1,1402595,1402781,Nanog_dome_peak_37,413,.,21.053079999999998,44.72786,41.35962,120,True,False,False
9,chr1,1531284,1531529,Nanog_dome_peak_39,150,.,10.5063,17.823179999999997,15.00278,180,True,True,True
10,chr1,1626296,1626538,Nanog_dome_peak_41,251,.,12.60914,28.1883,25.119770000000003,51,True,False,True
11,chr1,1717005,1717226,Nanog_dome_peak_49,637,.,16.92377,67.47747,63.77737,82,False,True,True
12,chr1,2260157,2260414,Nanog_dome_peak_56,576,.,20.88925,61.236509999999996,57.62239,107,True,False,False
13,chr1,2261893,2262103,Nanog_dome_peak_57,226,.,11.11017,25.62225,22.60858,146,True,False,True
14,chr1,2283471,2283637,Nanog_dome_peak_59,373,.,19.73262,40.66225,37.36092,96,True,True,True
15,chr1,2297033,2297321,Nanog_dome_peak_61,314,.,16.05987,34.63256,31.4374,119,True,False,True
16,chr1,2308330,2308470,Nanog_dome_peak_63,249,.,14.49221,27.977009999999996,24.91304,55,True,True,False
17,chr1,3099975,3100268,Nanog_dome_peak_68,319,.,17.37996,35.204240000000006,31.9984,121,True,False,False
18,chr1,3290970,3291328,Nanog_dome_peak_73,188,.,10.53116,21.76089,18.83703,293,True,False,True
19,chr1,3299805,3300029,Nanog_dome_peak_75,235,.,12.04261,26.61657,23.58127,121,True,False,False
20,chr1,3305817,3306000,Nanog_dome_peak_76,188,.,12.178339999999999,21.77263,18.84842,97,False,True,True
21,chr1,3308327,3308562,Nanog_dome_peak_77,173,.,11.53449,20.259529999999998,17.3733,164,True,False,True
22,chr1,3507008,3507252,Nanog_dome_peak_79,440,.,20.388270000000002,47.49993,44.086859999999994,141,True,True,False
23,chr1,3516241,3516517,Nanog_dome_peak_80,420,.,19.587329999999998,45.4056,42.02579,180,False,True,False
24,chr1,3529298,3529542,Nanog_dome_peak_81,178,.,11.83225,20.71517,17.817339999999998,166,True,True,True
25,chr1,4210518,4210703,Nanog_dome_peak_84,1329,.,43.71075,137.48586,132.91901000000001,130,False,False,False
26,chr1,4270496,4270685,Nanog_dome_peak_86,278,.,15.628520000000002,30.993679999999998,27.8683,82,True,False,True
27,chr1,4637827,4638121,Nanog_dome_peak_90,264,.,14.813070000000002,29.542720000000003,26.44618,123,True,False,True
28,chr1,5013896,5014033,Nanog_dome_peak_96,178,.,11.803139999999999,20.7879,17.887929999999997,68,False,False,False
29,chr1,5019502,5019728,Nanog_dome_peak_97,315,.,17.393539999999998,34.75713,31.55968,127,False,False,True
30,chr1,5132452,5132643,Nanog_dome_peak_99,275,.,15.46635,30.70115,27.581409999999998,81,True,False,True
31,chr1,5228584,5228755,Nanog_dome_peak_103,204,.,12.47397,23.461920000000003,20.49716,77,True,False,True
32,chr1,5244298,5244882,Nanog_dome_peak_104,929,.,21.13841,96.99922,92.92254,253,False,False,True
33,chr1,5268581,5269149,Nanog_dome_peak_107,362,.,12.64578,39.48557,36.2039,458,True,False,True
34,chr1,5274460,5274634,Nanog_dome_peak_109,426,.,10.51515,46.06651,42.6764,57,True,False,False
35,chr1,5278934,5279293,Nanog_dome_peak_110,1370,.,19.22092,141.64633,137.02956,168,True,False,False
36,chr1,5281670,5281985,Nanog_dome_peak_112,796,.,14.081,83.53161,79.62201999999999,130,False,False,True
37,chr1,5296924,5297149,Nanog_dome_peak_114,151,.,10.599689999999999,18.012539999999998,15.18701,39,True,True,True
38,chr1,5315155,5315463,Nanog_dome_peak_116,1340,.,34.04661,138.67318999999998,134.09259,158,False,False,True
39,chr1,5323589,5323709,Nanog_dome_peak_117,245,.,14.51404,27.590809999999998,24.53463,56,True,False,True
40,chr1,5407972,5408216,Nanog_dome_peak_121,420,.,18.29241,45.44064,42.06028,127,True,False,True
41,chr1,5468375,5468551,Nanog_dome_peak_127,237,.,11.79215,26.798790000000004,23.75929,87,False,False,True
42,chr1,5478037,5478422,Nanog_dome_peak_129,289,.,13.78784,32.10843,28.961370000000002,116,False,True,True
43,chr1,5530765,5530998,Nanog_dome_peak_133,455,.,13.817910000000001,49.01135,45.57485,129,True,False,True
44,chr1,5533960,5534143,Nanog_dome_peak_134,595,.,15.12478,63.21655,59.57455,48,True,True,False
45,chr1,5537592,5537878,Nanog_dome_peak_135,296,.,11.94778,32.77536,29.61549,201,True,False,True
46,chr1,5664030,5664304,Nanog_dome_peak_137,254,.,13.541920000000001,28.525740000000003,25.45022,143,False,False,True
47,chr1,5918569,5918853,Nanog_dome_peak_142,254,.,14.508939999999999,28.489,25.41406,76,True,False,True
48,chr1,5926695,5926972,Nanog_dome_peak_144,141,.,10.06296,16.95497,14.15836,107,False,True,True
49,chr1,5965894,5966211,Nanog_dome_peak_146,1985,.,33.10884,203.85234,198.52937,203,True,True,False
50,chr1,6143065,6143371,Nanog_dome_peak_157,528,.,21.023629999999997,56.442409999999995,52.89491999999999,142,False,True,True
51,chr1,6164429,6164665,Nanog_dome_peak_160,778,.,24.83843,81.74978,77.86310999999999,142,True,False,False
52,chr1,6371100,6371315,Nanog_dome_peak_164,252,.,15.06274,28.36235,25.29032,105,False,False,True
53,chr1,6457194,6457397,Nanog_dome_peak_165,189,.,12.03542,21.83744,18.91125,112,True,False,True
54,chr1,6494409,6494704,Nanog_dome_peak_166,535,.,23.34486,57.139419999999994,53.58194,126,True,False,True
55,chr1,7064923,7065497,Nanog_dome_peak_190,884,.,19.65332,92.47561999999999,88.45358,386,False,False,False
56,chr1,7247450,7247685,Nanog_dome_peak_193,259,.,14.809270000000001,29.023740000000004,25.937829999999998,125,False,True,True
57,chr1,7257880,7258125,Nanog_dome_peak_195,196,.,12.43167,22.56737,19.62303,183,True,True,False
58,chr1,7514182,7514431,Nanog_dome_peak_198,326,.,17.71467,35.83088,32.61385,154,True,False,False
59,chr1,7616811,7617112,Nanog_dome_peak_199,155,.,10.70372,18.411720000000003,15.57409,119,True,False,True
60,chr1,7640321,7640622,Nanog_dome_peak_202,765,.,26.16302,80.39986,76.53059,145,False,False,True
61,chr1,7659912,7660108,Nanog_dome_peak_204,294,.,15.91901,32.57647,29.420379999999998,91,True,False,True
62,chr1,7677558,7677966,Nanog_dome_peak_207,298,.,10.25228,33.054590000000005,29.8893,243,True,False,True
63,chr1,7681155,7681326,Nanog_dome_peak_208,452,.,13.333470000000002,48.6381,45.207159999999995,102,False,False,True
64,chr1,7698240,7698519,Nanog_dome_peak_213,535,.,19.05004,57.090340000000005,53.53349,173,False,True,False
65,chr1,7836027,7836285,Nanog_dome_peak_217,299,.,15.559470000000001,33.15278,29.98563,155,False,False,False
66,chr1,8140263,8140471,Nanog_dome_peak_224,270,.,13.76346,30.130409999999998,27.02208,128,False,False,True
67,chr1,8534340,8534585,Nanog_dome_peak_231,274,.,15.386510000000001,30.557920000000003,27.440990000000003,76,True,False,False
68,chr1,8561831,8562082,Nanog_dome_peak_234,291,.,16.31271,32.25399,29.10401,178,True,False,True
69,chr1,8693898,8694218,Nanog_dome_peak_237,618,.,20.456139999999998,65.5704,61.89593000000001,173,True,False,False
70,chr1,8704565,8704693,Nanog_dome_peak_239,196,.,12.43167,22.56737,19.62303,67,True,False,True
71,chr1,8733033,8733414,Nanog_dome_peak_241,292,.,13.55735,32.375659999999996,29.22346,221,True,False,True
72,chr1,8737073,8737188,Nanog_dome_peak_242,237,.,11.79215,26.798790000000004,23.75929,55,True,False,False
73,chr1,8832463,8832668,Nanog_dome_peak_244,206,.,13.002469999999999,23.6603,20.69057,142,True,True,True
74,chr1,8977900,8978043,Nanog_dome_peak_247,270,.,15.65001,30.157120000000003,27.0484,49,True,True,False
75,chr1,9175848,9176138,Nanog_dome_peak_253,677,.,25.80732,71.53406,67.77994,189,True,False,True
76,chr1,9182231,9182377,Nanog_dome_peak_254,433,.,20.76334,46.71921,43.31838,70,True,False,True
77,chr1,9195928,9196051,Nanog_dome_peak_255,245,.,13.97745,27.55828,24.50282,44,True,False,True
78,chr1,9282740,9283155,Nanog_dome_peak_258,746,.,20.40641,78.48779,74.6427,272,True,False,True
79,chr1,9294478,9294724,Nanog_dome_peak_261,806,.,15.59325,84.60746999999999,80.68445,175,False,False,True
80,chr1,9297072,9297572,Nanog_dome_peak_263,463,.,11.85458,49.81025,46.36111,86,True,False,True
81,chr1,9369160,9369395,Nanog_dome_peak_269,356,.,18.819760000000002,38.91238,35.64076,58,True,True,True
82,chr1,9379238,9379451,Nanog_dome_peak_270,301,.,16.03294,33.3537,30.1827,52,False,False,True
83,chr1,9457626,9457991,Nanog_dome_peak_272,432,.,18.53644,46.616479999999996,43.21716,199,False,False,True
84,chr1,9676258,9676405,Nanog_dome_peak_277,161,.,11.05845,18.981920000000002,16.12937,57,True,True,True
85,chr1,9719989,9720096,Nanog_dome_peak_279,145,.,10.16208,17.40681,14.598020000000002,45,True,True,True
86,chr1,9795113,9795324,Nanog_dome_peak_282,165,.,11.206719999999999,19.39685,16.533089999999998,55,True,True,True
87,chr1,9858487,9858599,Nanog_dome_peak_283,176,.,11.66726,20.51874,17.62584,73,False,False,True
88,chr1,9941034,9941184,Nanog_dome_peak_286,163,.,11.16196,19.21088,16.35204,70,True,False,True
89,chr1,10107392,10107841,Nanog_dome_peak_293,1333,.,19.89058,137.93228,133.3604,257,False,True,False
90,chr1,10199589,10199748,Nanog_dome_peak_297,175,.,11.25793,20.45802,17.56662,52,True,False,True
91,chr1,10248976,10249204,Nanog_dome_peak_299,346,.,15.975220000000002,37.861290000000004,34.6079,142,False,False,True
92,chr1,10279968,10280378,Nanog_dome_peak_301,158,.,10.6834,18.67322,15.8286,248,False,True,True
93,chr1,10450913,10451214,Nanog_dome_peak_306,687,.,24.314629999999998,72.54964,68.7821,208,False,True,True
94,chr1,10473565,10473786,Nanog_dome_peak_307,322,.,16.88942,35.436479999999996,32.22639,112,True,False,False
95,chr1,10494838,10495015,Nanog_dome_peak_308,230,.,12.43868,26.08551,23.0619,88,False,False,True
96,chr1,10495896,10496033,Nanog_dome_peak_309,348,.,16.531270000000003,38.10131,34.84342,65,True,False,False
97,chr1,10599036,10599397,Nanog_dome_peak_315,275,.,11.8649,30.68665,27.567259999999997,268,True,True,False
98,chr1,10619998,10620275,Nanog_dome_peak_317,588,.,23.05752,62.450630000000004,58.81926,195,True,False,True
99,chr1,10664674,10664975,Nanog_dome_peak_320,181,.,11.77738,21.010920000000002,18.10559,183,True,False,True
100,chr1,10848405,10848767,Nanog_dome_peak_323,218,.,12.971039999999999,24.801170000000003,21.80593,156,False,True,False
101,chr1,10885263,10885417,Nanog_dome_peak_324,212,.,13.121979999999999,24.21351,21.23143,105,True,False,True
102,chr1,10901448,10901669,Nanog_dome_peak_325,187,.,12.10962,21.64012,18.719260000000002,123,True,False,True
103,chr1,10975243,10975412,Nanog_dome_peak_326,241,.,14.04684,27.176470000000002,24.12908,57,False,False,False
104,chr1,11075559,11075814,Nanog_dome_peak_328,298,.,16.72456,33.03629,29.8712,143,True,True,True
105,chr1,11081293,11081519,Nanog_dome_peak_329,225,.,13.805660000000001,25.53285,22.52129,69,True,False,True
106,chr1,11099908,11100089,Nanog_dome_peak_330,216,.,13.46618,24.59273,21.60203,110,True,True,True
107,chr1,11121425,11121700,Nanog_dome_peak_331,471,.,21.3652,50.65639,47.1947,82,False,False,True
108,chr1,11496157,11496655,Nanog_dome_peak_336,182,.,10.518130000000001,21.19605,18.28611,300,True,False,True
109,chr1,12100773,12101013,Nanog_dome_peak_350,185,.,12.04168,21.509929999999997,18.59224,119,True,False,True
110,chr1,12348001,12348361,Nanog_dome_peak_356,573,.,21.22544,60.98206,57.371590000000005,175,False,False,False
111,chr1,12501084,12501203,Nanog_dome_peak_358,172,.,11.54161,20.08931,17.20724,56,False,False,True
112,chr1,12564640,12564770,Nanog_dome_peak_360,201,.,12.535680000000001,23.13539,20.17814,71,True,True,True
113,chr1,12971352,12971575,Nanog_dome_peak_364,258,.,15.00769,28.9278,25.84396,73,False,False,False
114,chr1,13096245,13096456,Nanog_dome_peak_369,323,.,15.84968,35.58795,32.37506,76,True,False,True
115,chr1,13120902,13121312,Nanog_dome_peak_370,212,.,12.8914,24.197370000000003,21.21559,164,True,True,True
116,chr1,13302986,13303151,Nanog_dome_peak_378,259,.,12.35265,29.0051,25.91946,86,True,False,True
117,chr1,13318894,13319411,Nanog_dome_peak_380,281,.,14.07006,31.281670000000002,28.150609999999997,210,True,False,True
118,chr1,13425568,13425789,Nanog_dome_peak_385,326,.,17.45818,35.87158,32.65376,124,False,True,False
119,chr1,13533683,13533857,Nanog_dome_peak_386,188,.,12.31105,21.81731,18.89186,92,True,True,False
120,chr1,13552641,13552861,Nanog_dome_peak_387,270,.,15.65001,30.157120000000003,27.0484,129,True,True,True
121,chr1,13603003,13603123,Nanog_dome_peak_389,170,.,11.47637,19.95071,17.07261,81,True,True,False
122,chr1,13825111,13825849,Nanog_dome_peak_392,224,.,10.37616,25.50212,22.49095,362,False,True,False
123,chr1,13875404,13875815,Nanog_dome_peak_394,197,.,12.05365,22.734720000000003,19.78676,135,True,False,True
124,chr1,13966830,13967146,Nanog_dome_peak_395,764,.,24.55258,80.29673000000001,76.42891,213,True,True,False
125,chr1,13989307,13989418,Nanog_dome_peak_396,230,.,14.091170000000002,26.10839,23.08419,46,False,False,True
126,chr1,14129278,14129454,Nanog_dome_peak_400,168,.,11.2465,19.7092,16.83751,106,True,True,True
127,chr1,14339637,14339770,Nanog_dome_peak_403,467,.,23.02681,50.17458,46.71983,68,True,False,False
128,chr1,14355719,14355952,Nanog_dome_peak_405,156,.,10.59961,18.52293,15.6824,88,True,True,True
129,chr1,14454393,14454698,Nanog_dome_peak_409,206,.,11.621739999999999,23.579079999999998,20.61158,138,True,False,True
130,chr1,14466191,14466425,Nanog_dome_peak_410,207,.,11.02337,23.7127,20.74203,83,True,False,True
131,chr1,14498160,14498346,Nanog_dome_peak_413,472,.,21.85922,50.760090000000005,47.29701,96,True,True,False
132,chr1,14507383,14507713,Nanog_dome_peak_414,746,.,18.12954,78.50565,74.66026,130,True,False,False
133,chr1,14509808,14510090,Nanog_dome_peak_415,449,.,12.92101,48.38458,44.95711,140,False,False,False
134,chr1,15230260,15230404,Nanog_dome_peak_418,275,.,15.703170000000002,30.6627,27.54375,57,True,False,True
135,chr1,15316980,15317182,Nanog_dome_peak_420,180,.,11.28946,20.957539999999998,18.053639999999998,69,True,False,True
136,chr1,15518050,15518204,Nanog_dome_peak_423,554,.,23.51655,59.04435,55.46035,106,True,True,False
137,chr1,15565770,15565893,Nanog_dome_peak_426,188,.,12.31105,21.81731,18.89186,41,True,False,False
