,chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,FitCUT&RUN specific,contain pou5f3 motif
0,chr1,1717036,1717264,Pou5f3_dome_peak_3,157,.,10.65205,19.88308,15.77994,177,True,True
1,chr1,2297115,2297263,Pou5f3_dome_peak_4,216,.,13.34706,25.95001,21.63129,50,True,True
2,chr1,3299805,3300037,Pou5f3_dome_peak_5,311,.,15.921420000000001,35.70876,31.118990000000004,91,True,True
3,chr1,4210512,4210704,Pou5f3_dome_peak_6,6286,.,62.13371,635.50458,628.67365,144,True,False
4,chr1,5274488,5274646,Pou5f3_dome_peak_8,203,.,11.5658,24.62547,20.35032,95,True,True
5,chr1,5315213,5315438,Pou5f3_dome_peak_9,231,.,14.220460000000001,27.48647,23.11693,100,True,True
6,chr1,5530766,5530879,Pou5f3_dome_peak_10,217,.,13.41572,26.0689,21.74643,54,True,True
7,chr1,6506855,6506997,Pou5f3_dome_peak_15,171,.,11.74733,21.319020000000002,17.161920000000002,72,True,True
8,chr1,8695749,8695924,Pou5f3_dome_peak_20,394,.,17.58655,44.23831,39.4553,96,True,True
9,chr1,9457722,9457991,Pou5f3_dome_peak_23,676,.,26.01935,72.79556,67.60064,107,False,True
10,chr1,9941078,9941206,Pou5f3_dome_peak_24,236,.,14.72645,27.99558,23.609379999999998,40,True,False
11,chr1,10107522,10107738,Pou5f3_dome_peak_26,253,.,12.80995,29.791159999999998,25.349429999999998,149,True,True
12,chr1,10901456,10901683,Pou5f3_dome_peak_28,468,.,20.1663,51.73345,46.8255,123,False,True
13,chr1,12998297,12998496,Pou5f3_dome_peak_32,194,.,12.60582,23.69266,19.45001,100,True,True
14,chr1,13120782,13121230,Pou5f3_dome_peak_34,164,.,10.75521,20.54627,16.41745,73,True,True
15,chr1,13166349,13166624,Pou5f3_dome_peak_35,428,.,16.1071,47.69545,42.85055,223,True,True
16,chr1,14466180,14466303,Pou5f3_dome_peak_40,164,.,11.09505,20.627760000000002,16.495820000000002,38,True,False
17,chr1,14507443,14507713,Pou5f3_dome_peak_41,350,.,15.02326,39.78485,35.09895,100,True,False
18,chr1,15330800,15330946,Pou5f3_dome_peak_43,191,.,12.14514,23.38413,19.15275,55,True,False
19,chr1,15957194,15957366,Pou5f3_dome_peak_44,256,.,13.73562,30.08369,25.63424,60,True,True
20,chr1,15989786,15989919,Pou5f3_dome_peak_45,158,.,10.94182,19.912879999999998,15.808489999999999,105,True,True
21,chr1,16193535,16193671,Pou5f3_dome_peak_46,159,.,11.25177,20.04946,15.939729999999999,86,True,True
22,chr1,16778323,16778480,Pou5f3_dome_peak_51,387,.,18.44962,43.47625,38.709140000000005,55,True,True
23,chr1,18383534,18383863,Pou5f3_dome_peak_54,184,.,11.689789999999999,22.61672,18.41088,260,True,True
24,chr1,19650050,19650230,Pou5f3_dome_peak_57,218,.,13.185039999999999,26.199820000000003,21.87215,102,True,True
25,chr1,19671944,19672214,Pou5f3_dome_peak_58,300,.,10.14293,34.619859999999996,30.055690000000002,189,True,False
26,chr1,19675741,19676013,Pou5f3_dome_peak_59,750,.,17.839170000000003,80.29668000000001,75.01715,172,True,True
27,chr1,19681280,19681475,Pou5f3_dome_peak_60,211,.,12.08747,25.49875,21.19416,55,True,True
28,chr1,20818362,20818626,Pou5f3_dome_peak_61,384,.,16.14888,43.244279999999996,38.48238,107,True,True
29,chr1,20837842,20838031,Pou5f3_dome_peak_63,283,.,15.72543,32.82399,28.30252,107,True,True
30,chr1,22295832,22296047,Pou5f3_dome_peak_69,196,.,12.70673,23.8702,19.62063,69,True,False
31,chr1,23124744,23124913,Pou5f3_dome_peak_72,149,.,10.8663,19.00451,14.93535,39,True,False
32,chr1,23356959,23357061,Pou5f3_dome_peak_74,140,.,10.6454,18.08936,14.057210000000001,55,True,True
33,chr1,24163170,24163280,Pou5f3_dome_peak_76,223,.,13.47894,26.70025,22.3565,46,True,True
34,chr1,24873279,24873624,Pou5f3_dome_peak_78,421,.,16.95733,46.94935,42.11831,64,False,False
35,chr1,24902046,24902196,Pou5f3_dome_peak_80,190,.,12.08629,23.284489999999998,19.05622,54,True,True
36,chr1,25801425,25801686,Pou5f3_dome_peak_84,299,.,15.22013,34.52838,29.96603,81,True,False
37,chr1,26063201,26063371,Pou5f3_dome_peak_85,297,.,13.49857,34.28529,29.72818,81,True,True
38,chr1,26071549,26071802,Pou5f3_dome_peak_86,179,.,11.10248,22.16724,17.978170000000002,176,True,False
39,chr1,26611652,26612008,Pou5f3_dome_peak_88,387,.,14.69653,43.54012,38.77182,214,True,True
40,chr1,26617351,26617649,Pou5f3_dome_peak_90,381,.,14.75114,42.91385,38.159659999999995,65,True,True
41,chr1,29870533,29870792,Pou5f3_dome_peak_97,223,.,10.353530000000001,26.642709999999997,22.30099,99,True,True
42,chr1,29877724,29878019,Pou5f3_dome_peak_100,941,.,21.07366,99.53631,94.11355999999999,147,True,True
43,chr1,30493152,30493304,Pou5f3_dome_peak_104,203,.,12.86552,24.61787,20.3436,51,True,True
44,chr1,31079888,31080062,Pou5f3_dome_peak_106,737,.,19.84702,79.02674,73.75799,111,True,True
45,chr1,31082157,31082366,Pou5f3_dome_peak_107,274,.,10.878969999999999,31.94013,27.44244,146,True,True
46,chr1,34801395,34801540,Pou5f3_dome_peak_112,152,.,11.053239999999999,19.348129999999998,15.26556,65,True,False
47,chr1,37869422,37869611,Pou5f3_dome_peak_117,153,.,10.67083,19.45116,15.364170000000001,85,True,True
48,chr1,38172853,38172948,Pou5f3_dome_peak_123,229,.,10.08775,27.3143,22.95031,47,True,True
49,chr1,38173653,38173893,Pou5f3_dome_peak_124,252,.,10.70502,29.735970000000002,25.29644,112,True,True
50,chr1,38815457,38815691,Pou5f3_dome_peak_126,496,.,18.57026,54.58583,49.631040000000006,118,True,True
51,chr1,39184768,39184981,Pou5f3_dome_peak_128,139,.,10.2864,17.96875,13.94198,109,True,True
52,chr1,39855590,39855879,Pou5f3_dome_peak_131,370,.,16.17526,41.80838,37.07716,63,True,False
53,chr1,40518119,40518241,Pou5f3_dome_peak_136,205,.,12.96584,24.7921,20.51047,35,True,True
54,chr1,41112591,41112774,Pou5f3_dome_peak_138,221,.,12.68565,26.49805,22.16091,88,True,True
55,chr1,41698980,41699126,Pou5f3_dome_peak_141,174,.,11.66584,21.60247,17.433629999999997,80,True,True
56,chr1,42232567,42232798,Pou5f3_dome_peak_144,214,.,12.93435,25.775579999999998,21.4629,92,True,True
57,chr1,44012917,44013131,Pou5f3_dome_peak_149,146,.,10.2397,18.72529,14.66744,116,True,True
58,chr1,44051099,44051336,Pou5f3_dome_peak_150,378,.,16.23228,42.64727,37.89727,84,True,True
59,chr1,45704868,45705029,Pou5f3_dome_peak_152,321,.,15.35845,36.81496,32.198890000000006,88,True,True
60,chr1,45733757,45733905,Pou5f3_dome_peak_157,243,.,12.60343,28.80412,24.393060000000002,93,True,True
61,chr1,48898643,48898809,Pou5f3_dome_peak_169,152,.,11.17184,19.32664,15.24495,54,True,True
