,chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,FitCUT&RUN specific,contain sox19b motif
0,chr1,214165,214342,Sox19b_dome_peak_4,149,.,10.46841,17.74705,14.90717,96,True,False
1,chr1,259797,260023,Sox19b_dome_peak_5,677,.,27.808559999999996,71.42414000000001,67.71972,119,True,False
2,chr1,643654,643976,Sox19b_dome_peak_10,362,.,16.56103,39.561209999999996,36.28151,106,False,False
3,chr1,686579,686818,Sox19b_dome_peak_15,219,.,13.3384,25.00279,21.98937,60,True,False
4,chr1,1402649,1402781,Sox19b_dome_peak_18,234,.,14.28996,26.51916,23.474079999999997,63,True,False
5,chr1,1713991,1714138,Sox19b_dome_peak_22,477,.,10.95423,51.17261,47.72071,63,True,False
6,chr1,1714832,1714999,Sox19b_dome_peak_23,545,.,11.91645,58.05396999999999,54.50957,86,True,False
7,chr1,1715528,1715818,Sox19b_dome_peak_24,1368,.,21.98005,141.25436000000002,136.80092,123,True,True
8,chr1,1730449,1730596,Sox19b_dome_peak_26,187,.,12.27135,21.7222,18.78225,85,True,False
9,chr1,1943513,1943785,Sox19b_dome_peak_28,1136,.,34.30749,117.82208999999999,113.60932,115,True,True
10,chr1,2031990,2032245,Sox19b_dome_peak_29,190,.,12.36714,21.95378,19.00829,178,True,False
11,chr1,2262545,2262755,Sox19b_dome_peak_33,778,.,22.82882,81.6278,77.80823000000001,62,False,True
12,chr1,2297008,2297354,Sox19b_dome_peak_34,401,.,17.57102,43.46382,40.12401,174,True,True
13,chr1,2312986,2313112,Sox19b_dome_peak_35,156,.,10.8465,18.52543,15.66446,97,True,False
14,chr1,3241197,3241325,Sox19b_dome_peak_42,234,.,13.669139999999999,26.510279999999998,23.46542,47,True,True
15,chr1,3260783,3261221,Sox19b_dome_peak_43,592,.,19.89931,62.82688,59.223769999999995,231,True,True
16,chr1,4210515,4210703,Sox19b_dome_peak_63,2560,.,57.38796,261.8136,256.01419,140,True,True
17,chr1,4637826,4638119,Sox19b_dome_peak_67,185,.,12.03757,21.50209,18.56714,92,True,True
18,chr1,5132433,5132694,Sox19b_dome_peak_73,240,.,14.27549,27.14327,24.08512,102,True,False
19,chr1,5244357,5244870,Sox19b_dome_peak_74,557,.,17.646739999999998,59.32156,55.7613,182,True,True
20,chr1,5268561,5269176,Sox19b_dome_peak_76,1172,.,19.16907,121.50091,117.25283,190,False,False
21,chr1,5278934,5279295,Sox19b_dome_peak_79,2259,.,27.52358,231.42789,225.9734,177,False,True
22,chr1,5281670,5281900,Sox19b_dome_peak_80,918,.,15.656970000000001,95.77805,91.80311999999999,116,True,True
23,chr1,5315080,5315511,Sox19b_dome_peak_82,1182,.,27.713520000000003,122.46529,118.2057,233,False,True
24,chr1,5328520,5328732,Sox19b_dome_peak_83,909,.,32.29857,94.89021,90.92493,107,False,True
25,chr1,5436490,5436629,Sox19b_dome_peak_85,167,.,11.212760000000001,19.64571,16.7561,78,True,False
26,chr1,5468320,5468568,Sox19b_dome_peak_88,1420,.,35.865359999999995,146.59552,142.08424,94,True,True
27,chr1,5804463,5804682,Sox19b_dome_peak_96,188,.,12.2927,21.794929999999997,18.85322,137,True,False
28,chr1,5951175,5951310,Sox19b_dome_peak_99,139,.,10.02064,16.76214,13.94841,68,True,True
29,chr1,5966006,5966520,Sox19b_dome_peak_101,527,.,19.036939999999998,56.24585,52.72501,111,True,True
30,chr1,6054157,6054526,Sox19b_dome_peak_102,383,.,17.78714,41.63325,38.32158,234,True,False
31,chr1,6143057,6143399,Sox19b_dome_peak_108,1743,.,36.104690000000005,179.2209,174.34528999999998,200,False,True
32,chr1,6164358,6164702,Sox19b_dome_peak_111,1849,.,36.3923,189.94373000000002,184.95412,228,False,True
33,chr1,6185037,6185154,Sox19b_dome_peak_112,186,.,12.10497,21.63117,18.693260000000002,51,True,True
34,chr1,6494434,6494637,Sox19b_dome_peak_117,235,.,13.97356,26.5865,23.53998,80,True,False
35,chr1,6506721,6507032,Sox19b_dome_peak_118,590,.,20.25027,62.62915,59.02844,183,True,False
36,chr1,6956686,6956972,Sox19b_dome_peak_124,277,.,15.55016,30.852059999999998,27.7216,95,True,False
37,chr1,6968952,6969191,Sox19b_dome_peak_126,186,.,11.68389,21.63363,18.695610000000002,138,True,False
38,chr1,7064957,7065497,Sox19b_dome_peak_128,699,.,17.497510000000002,73.68938,69.95891,349,True,False
39,chr1,7095308,7095534,Sox19b_dome_peak_129,671,.,26.96293,70.84675,67.14925,101,True,True
40,chr1,7185295,7185557,Sox19b_dome_peak_133,174,.,11.432910000000001,20.3766,17.4684,82,True,False
41,chr1,7514174,7514627,Sox19b_dome_peak_138,819,.,25.009970000000003,85.81049,81.9443,177,True,True
42,chr1,7570240,7570376,Sox19b_dome_peak_139,143,.,10.1729,17.1659,14.34164,70,True,True
43,chr1,7616680,7617075,Sox19b_dome_peak_140,606,.,21.62152,64.2517,60.631069999999994,295,True,False
44,chr1,7623973,7624222,Sox19b_dome_peak_142,445,.,21.826729999999998,47.94433,44.538129999999995,122,True,True
45,chr1,7640324,7640605,Sox19b_dome_peak_144,1239,.,34.76947,128.2303,123.91343,125,False,False
46,chr1,7653983,7654302,Sox19b_dome_peak_145,357,.,18.2431,39.025090000000006,35.75377,151,False,False
47,chr1,7661574,7661788,Sox19b_dome_peak_147,243,.,13.55047,27.37245,24.30975,143,True,False
