chrom,start,end,Nanog_binding_status,replication_timing_pre_MBT
chr1,0,100000,dome new,-2.71407
chr1,100000,200000,256-cell,-2.1657
chr1,200000,300000,dome new,-1.93134
chr1,300000,400000,non binding,-2.17544
chr1,400000,500000,non binding,-1.98163
chr1,500000,600000,non binding,-1.51106
chr1,600000,700000,1k-cell new,-1.11556
chr1,700000,800000,non binding,-1.10887
chr1,800000,900000,non binding,-1.31718
chr1,900000,1000000,non binding,-1.2794299999999998
chr1,1000000,1100000,256-cell,-1.21272
chr1,1100000,1200000,256-cell,-1.13211
chr1,1200000,1300000,non binding,-1.0085
chr1,1300000,1400000,1k-cell new,-1.03829
chr1,1400000,1500000,256-cell,-1.12574
chr1,1500000,1600000,dome new,-1.1125399999999999
chr1,1600000,1700000,dome new,-1.11232
chr1,1700000,1800000,dome new,-1.10855
chr1,1800000,1900000,non binding,-1.1574200000000001
chr1,1900000,2000000,non binding,-1.22732
chr1,2000000,2100000,non binding,-1.24013
chr1,2100000,2200000,non binding,-0.938227
chr1,2200000,2300000,256-cell,-0.555825
chr1,2300000,2400000,1k-cell new,-0.515545
chr1,2400000,2500000,non binding,-0.8032600000000001
chr1,2500000,2600000,non binding,-1.238
chr1,2600000,2700000,1k-cell new,-1.50135
chr1,2700000,2800000,non binding,-1.5734299999999999
chr1,2800000,2900000,non binding,-1.56865
chr1,2900000,3000000,non binding,-1.4724700000000002
chr1,3000000,3100000,dome new,-1.4514
chr1,3100000,3200000,1k-cell new,-1.21412
chr1,3200000,3300000,1k-cell new,-1.0050700000000001
chr1,3300000,3400000,1k-cell new,-0.986575
chr1,3400000,3500000,non binding,-1.13648
chr1,3500000,3600000,256-cell,-1.06125
chr1,3600000,3700000,1k-cell new,-1.24425
chr1,3700000,3800000,non binding,-1.5270700000000001
chr1,3800000,3900000,non binding,-1.7697
chr1,3900000,4000000,non binding,-1.6653099999999998
chr1,4000000,4100000,non binding,-1.14488
chr1,4100000,4200000,non binding,-0.801248
chr1,4200000,4300000,256-cell,-0.85851
chr1,4300000,4400000,non binding,-1.20235
chr1,4400000,4500000,non binding,-1.39309
chr1,4500000,4600000,non binding,0.0
chr1,4600000,4700000,dome new,0.0
