chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,contain Nanog motif
chr1,179386,179551,Nanog_256_peak_2,144,.,10.7386,18.30904,14.4604,60,False
chr1,1029004,1029315,Nanog_256_peak_12,222,.,14.1441299999999,26.51397,22.29107,259,False
chr1,1133924,1134067,Nanog_256_peak_14,224,.,13.7576399999999,26.66545,22.43688,44,False
chr1,1402643,1402781,Nanog_256_peak_20,311,.,17.67902,35.76361,31.18747,72,False
chr1,2260182,2260365,Nanog_256_peak_29,156,.,11.19356,19.60966,15.69667,81,False
chr1,3516395,3516526,Nanog_256_peak_38,197,.,12.72312,23.89911,19.7833799999999,64,True
chr1,4210535,4210703,Nanog_256_peak_44,255,.,15.2890299999999,29.89367,25.53487,122,False
chr1,4724837,4725091,Nanog_256_peak_47,185,.,10.06056,22.63187,18.57247,164,False
chr1,5013915,5014033,Nanog_256_peak_53,207,.,13.30582,24.94339,20.78685,51,False
chr1,5111626,5111843,Nanog_256_peak_54,451,.,16.9927299999999,50.11118,45.10232,119,False
chr1,5966024,5966175,Nanog_256_peak_65,178,.,11.81295,21.85718,17.83422,86,True
chr1,7064960,7065459,Nanog_256_peak_77,290,.,12.00278,33.53187,29.03707,455,True
chr1,7916826,7916978,Nanog_256_peak_92,201,.,12.95676,24.3139,20.18245,102,False
chr1,10107499,10107778,Nanog_256_peak_123,384,.,16.16187,43.26723,38.43975,150,True
chr1,10598838,10599397,Nanog_256_peak_131,437,.,11.47101,48.76944,43.7967,407,True
chr1,11495601,11495757,Nanog_256_peak_142,181,.,12.23639,22.20502,18.16582,66,False
chr1,11878269,11878504,Nanog_256_peak_147,172,.,10.84301,21.20506,17.21432,89,False
chr1,12046360,12046480,Nanog_256_peak_148,132,.,10.10295,17.03138,13.25026,68,False
chr1,12277500,12277723,Nanog_256_peak_152,212,.,13.06011,25.45606,21.27609,120,False
chr1,13597725,13597979,Nanog_256_peak_163,547,.,25.04503,60.06985,54.79996,59,False
chr1,13603004,13603149,Nanog_256_peak_164,275,.,15.595,32.01214,27.57232,81,True
chr1,14509841,14510118,Nanog_256_peak_176,243,.,11.42724,28.6269599999999,24.31869,114,False
chr1,15330741,15330918,Nanog_256_peak_178,169,.,10.99532,20.94629,16.96845,48,False
chr1,15518043,15518204,Nanog_256_peak_179,445,.,19.788,49.5159,44.52375,102,True
chr1,15927146,15927405,Nanog_256_peak_185,210,.,11.91554,25.21127,21.0413,165,False
chr1,17209601,17209716,Nanog_256_peak_193,141,.,10.5881,17.9889,14.15821,37,False
chr1,17264545,17264678,Nanog_256_peak_194,142,.,10.65204,18.11977,14.2827,79,False
chr1,17857291,17857503,Nanog_256_peak_199,316,.,16.24835,36.25972,31.66687,75,True
chr1,18710701,18711013,Nanog_256_peak_211,201,.,12.3448,24.24168,20.11281,102,False
chr1,19649928,19650356,Nanog_256_peak_222,806,.,21.23516,86.46358,80.68215,68,False
chr1,21209750,21209870,Nanog_256_peak_233,159,.,10.94737,19.92238,15.99331,70,False
chr1,21291770,21291999,Nanog_256_peak_234,288,.,14.5237799999999,33.3548599999999,28.86685,84,False
chr1,21296998,21297311,Nanog_256_peak_235,184,.,10.6288,22.47949,18.42662,71,True
chr1,23352940,23353086,Nanog_256_peak_249,165,.,11.75252,20.54025,16.58163,79,False
chr1,23489833,23489976,Nanog_256_peak_252,172,.,11.69211,21.22069,17.2287,79,True
chr1,24233353,24233491,Nanog_256_peak_261,171,.,11.85201,21.15067,17.16235,69,True
chr1,24614710,24614897,Nanog_256_peak_262,146,.,10.74571,18.49185,14.6340899999999,63,False
chr1,24873273,24873705,Nanog_256_peak_266,763,.,20.03341,82.04601,76.34183,207,True
chr1,24938677,24939047,Nanog_256_peak_270,232,.,11.16314,27.5321,23.26861,143,True
chr1,25494060,25494181,Nanog_256_peak_276,160,.,10.71017,19.98031,16.04842,69,False
chr1,25565949,25566048,Nanog_256_peak_277,322,.,18.46353,36.8941,32.27582,52,False
chr1,25687568,25687773,Nanog_256_peak_280,158,.,10.8675,19.78577,15.86411,121,False
chr1,25801445,25801627,Nanog_256_peak_281,479,.,21.8447399999999,53.00723,47.9165799999999,61,False
chr1,26071550,26071783,Nanog_256_peak_283,206,.,12.66267,24.77872,20.6294,55,False
chr1,26394330,26394622,Nanog_256_peak_288,220,.,11.8188,26.2375099999999,22.02518,48,False
chr1,26617386,26617790,Nanog_256_peak_290,250,.,11.48602,29.35884,25.01935,147,True
chr1,26642727,26642968,Nanog_256_peak_291,225,.,13.8279799999999,26.78916,22.55489,132,True
chr1,26673379,26673837,Nanog_256_peak_293,305,.,13.5716799999999,35.09529,30.5428,239,False
chr1,26851277,26851449,Nanog_256_peak_297,153,.,10.5593399999999,19.26252,15.36628,43,False
chr1,26915065,26915305,Nanog_256_peak_301,299,.,12.13585,34.44479,29.91604,198,True
chr1,27135948,27136229,Nanog_256_peak_304,216,.,10.90205,25.85487,21.65754,162,True
chr1,27541952,27542051,Nanog_256_peak_305,193,.,13.01549,23.41604,19.32362,51,False
chr1,27561250,27561512,Nanog_256_peak_306,269,.,15.55212,31.37824,26.96173,86,False
chr1,29226861,29226981,Nanog_256_peak_317,197,.,12.72312,23.89911,19.7833799999999,49,False
chr1,29463066,29463377,Nanog_256_peak_318,247,.,13.51694,29.09365,24.7648799999999,195,True
chr1,29855194,29855529,Nanog_256_peak_322,523,.,17.58855,57.5914199999999,52.37684,98,False
chr1,29893980,29894230,Nanog_256_peak_324,327,.,16.54184,37.43058,32.7934099999999,93,False
chr1,30075199,30075348,Nanog_256_peak_327,417,.,19.89629,46.6616099999999,41.73976,52,True
chr1,30188011,30188167,Nanog_256_peak_329,189,.,12.65214,22.98316,18.90878,70,False
chr1,31421398,31421623,Nanog_256_peak_336,265,.,14.23341,30.91866,26.51842,134,False
chr1,31534010,31534168,Nanog_256_peak_338,198,.,10.81443,23.9348,19.8170799999999,67,True
chr1,31544623,31544828,Nanog_256_peak_339,290,.,15.02687,33.53984,29.04455,101,True
chr1,31725001,31725133,Nanog_256_peak_340,167,.,11.5923699999999,20.66814,16.7033,75,True
chr1,31762621,31762805,Nanog_256_peak_341,163,.,11.64343,20.30444,16.35644,91,False
chr1,32425102,32425207,Nanog_256_peak_344,134,.,10.22002,17.25714,13.4642799999999,34,False
chr1,33047821,33047993,Nanog_256_peak_347,198,.,12.75598,23.95716,19.83897,113,False
chr1,33647507,33647664,Nanog_256_peak_352,179,.,11.29265,21.9528,17.92559,100,False
chr1,34138065,34138256,Nanog_256_peak_356,244,.,14.8940399999999,28.7157,24.40345,99,True
chr1,34350740,34350935,Nanog_256_peak_357,193,.,11.5150399999999,23.40144,19.3093,61,False
chr1,34355783,34356205,Nanog_256_peak_358,194,.,10.56259,23.50235,19.40596,240,True
chr1,36443111,36443341,Nanog_256_peak_376,483,.,16.68473,53.43996,48.33632,93,False
chr1,38173699,38173894,Nanog_256_peak_393,267,.,11.12715,31.18832,26.77935,122,True
chr1,38708515,38709063,Nanog_256_peak_403,283,.,13.45774,32.8687599999999,28.39805,323,True
chr1,39855580,39855921,Nanog_256_peak_420,250,.,12.1941,29.36304,25.02336,122,False
chr1,39872703,39873139,Nanog_256_peak_423,380,.,16.76365,42.82673,38.0118,159,True
chr1,40120554,40120805,Nanog_256_peak_429,224,.,13.11887,26.64456,22.41711,65,False
chr1,40131683,40131846,Nanog_256_peak_430,370,.,16.64109,41.8758,37.08958,75,True
chr1,40481406,40481613,Nanog_256_peak_433,258,.,14.90757,30.25453,25.8798,181,False
chr1,40518119,40518304,Nanog_256_peak_434,209,.,12.84306,25.08525,20.92145,60,True
chr1,40647210,40647503,Nanog_256_peak_435,340,.,15.67396,38.76575,34.07998,254,False
chr1,40912786,40913175,Nanog_256_peak_438,358,.,12.20549,40.58419,35.84109,195,True
chr1,40966821,40966973,Nanog_256_peak_441,136,.,10.01585,17.49855,13.69259,105,False
chr1,43835951,43836070,Nanog_256_peak_469,155,.,10.90553,19.43485,15.53084,78,True
chr1,44012888,44013170,Nanog_256_peak_473,367,.,16.46189,41.568,36.7919,168,True
chr1,45003116,45003353,Nanog_256_peak_486,211,.,11.27256,25.30643,21.13271,139,False
chr1,46115029,46115352,Nanog_256_peak_498,353,.,12.93812,40.08313,35.35686,169,True
chr1,46832653,46832917,Nanog_256_peak_509,335,.,13.39949,38.22259,33.55657,151,False
chr1,47122822,47122981,Nanog_256_peak_514,169,.,11.54112,20.95345,16.97523,77,True
chr1,47177157,47177407,Nanog_256_peak_516,252,.,10.95052,29.59922,25.25035,117,True
chr1,47824603,47824790,Nanog_256_peak_523,248,.,13.9505,29.21137,24.87828,130,True
chr1,48898602,48898809,Nanog_256_peak_533,177,.,11.45432,21.71594,17.7000299999999,53,False
chr1,48939882,48940136,Nanog_256_peak_534,198,.,12.46219,23.9236799999999,19.80648,202,False
chr1,49289037,49289439,Nanog_256_peak_537,189,.,11.6283,23.04205,18.9657,155,True
chr1,49352600,49352919,Nanog_256_peak_539,189,.,11.26231,22.98071,18.90644,255,False
chr1,49591626,49591876,Nanog_256_peak_541,264,.,14.9348,30.87708,26.47779,132,True
chr1,50542959,50543086,Nanog_256_peak_548,168,.,11.68839,20.84542,16.87221,66,True
chr1,50922385,50922678,Nanog_256_peak_554,545,.,11.8405,59.83779,54.5722699999999,136,False
chr1,50923658,50923927,Nanog_256_peak_555,890,.,16.1356,94.99223,89.06054,159,False
chr1,51128964,51129086,Nanog_256_peak_557,167,.,11.78758,20.75687,16.78775,52,True
chr1,51463433,51463580,Nanog_256_peak_563,188,.,12.18931,22.96813,18.8942899999999,90,False
chr1,51734562,51734659,Nanog_256_peak_567,140,.,10.41845,17.87617,14.05132,43,False
chr1,51829166,51829416,Nanog_256_peak_569,224,.,13.46539,26.6771,22.44804,104,True
chr1,52002518,52002625,Nanog_256_peak_572,142,.,10.61997,18.05399,14.21975,63,True
chr1,52792691,52792983,Nanog_256_peak_577,534,.,20.88974,58.7065699999999,53.46609,89,False
chr1,52932109,52932491,Nanog_256_peak_581,201,.,12.05612,24.30292,20.17156,253,False
chr1,53466377,53466642,Nanog_256_peak_584,170,.,11.01985,20.98725,17.00699,74,False
chr1,54332851,54333261,Nanog_256_peak_595,191,.,11.42183,23.24628,19.16183,214,True
chr1,54765301,54765526,Nanog_256_peak_604,295,.,14.9567299999999,34.08488,29.56972,54,False
chr1,54972264,54972466,Nanog_256_peak_605,211,.,13.29473,25.36836,21.19177,49,False
chr1,55108841,55108968,Nanog_256_peak_609,154,.,10.87751,19.38567,15.48369,67,True
chr1,58671983,58672211,Nanog_256_peak_628,221,.,12.60318,26.36028,22.14226,98,False
chr1,58839170,58839350,Nanog_256_peak_629,141,.,10.5881,17.9889,14.15821,121,False
chr10,74454,74592,Nanog_256_peak_636,144,.,10.24569,18.29539,14.44846,47,False
chr10,1961658,1961909,Nanog_256_peak_660,552,.,21.9606399999999,60.56529,55.2857699999999,144,True
chr10,2427704,2428024,Nanog_256_peak_665,225,.,13.4975899999999,26.7321299999999,22.50074,116,False
chr10,4144483,4144633,Nanog_256_peak_678,230,.,14.56112,27.33366,23.0786899999999,70,True
chr10,6010337,6010640,Nanog_256_peak_688,193,.,12.1690899999999,23.42473,19.33199,164,False
chr10,8624703,8624844,Nanog_256_peak_711,359,.,16.79312,40.67373,35.9287099999999,79,True
chr10,9398814,9399208,Nanog_256_peak_722,304,.,12.7538,34.9567599999999,30.40963,167,False
chr10,10015720,10015922,Nanog_256_peak_733,165,.,11.01102,20.48582,16.52908,33,True
chr10,10047142,10047347,Nanog_256_peak_734,155,.,10.9337,19.48436,15.57726,86,False
chr10,12088172,12088294,Nanog_256_peak_748,634,.,29.1460799999999,68.92878,63.47761,50,False
chr10,12516962,12517108,Nanog_256_peak_752,258,.,13.06166,30.22113,25.84757,67,False
chr10,14208969,14209116,Nanog_256_peak_766,194,.,12.94536,23.54844,19.4496,54,False
chr10,14566533,14566714,Nanog_256_peak_771,142,.,10.5057,18.03841,14.2052299999999,53,True
chr10,14928928,14929252,Nanog_256_peak_774,235,.,12.41921,27.86679,23.59032,251,True
chr10,15074773,15075113,Nanog_256_peak_778,259,.,13.48591,30.29877,25.92235,145,True
chr10,15184717,15184963,Nanog_256_peak_779,282,.,16.29824,32.71201,28.2477,146,False
chr10,15854959,15855153,Nanog_256_peak_788,199,.,12.55289,24.07897,19.95576,103,False
chr10,16232355,16232662,Nanog_256_peak_792,219,.,12.8046,26.11735,21.9104399999999,57,False
chr10,16713356,16713612,Nanog_256_peak_796,317,.,14.66906,36.33079,31.73474,135,False
chr10,16789344,16789490,Nanog_256_peak_799,786,.,26.29352,84.39398,78.64841,79,False
chr10,16797842,16797946,Nanog_256_peak_802,389,.,11.60213,43.84548,38.99985,59,False
chr10,16800701,16800857,Nanog_256_peak_803,655,.,18.146,71.0424,65.54626,83,False
chr10,16801126,16801257,Nanog_256_peak_804,1430,.,31.1180599999999,149.57373,143.09645,43,False
chr10,16839046,16839138,Nanog_256_peak_806,226,.,13.89904,26.9145099999999,22.67469,28,False
chr10,17451466,17451639,Nanog_256_peak_813,186,.,11.75442,22.7251799999999,18.6617,49,False
chr10,17505874,17506103,Nanog_256_peak_814,245,.,13.03638,28.90902,24.58766,73,True
chr10,17843759,17843906,Nanog_256_peak_820,373,.,19.64059,42.12212,37.32874,67,True
chr10,19219689,19219918,Nanog_256_peak_837,139,.,10.19462,17.80842,13.98726,162,False
chr10,19905582,19906067,Nanog_256_peak_841,474,.,18.77794,52.53673,47.46199,148,False
chr10,20292760,20293151,Nanog_256_peak_847,154,.,10.87751,19.38567,15.48369,196,False
chr10,20972336,20972503,Nanog_256_peak_857,283,.,15.70962,32.7968599999999,28.32877,78,True
chr10,22081284,22081784,Nanog_256_peak_873,322,.,12.04431,36.90479,32.28604,149,False
chr10,22155812,22155965,Nanog_256_peak_874,251,.,14.4496299999999,29.46851,25.1244,30,True
chr10,22871499,22871770,Nanog_256_peak_880,255,.,11.12315,29.93038,25.57015,205,False
chr10,23417011,23417243,Nanog_256_peak_887,160,.,11.50108,20.0024899999999,16.06963,88,True
