chrom,start,end,name,score,strand,signalValue,pValue,qValue,peak,contain Nanog motif,1k-cell new peak,in genome bin binding from 256-cell
chr1,602268,602741,Nanog_1k_peak_6,158,.,10.30336,19.30213,15.86219,203,True,True,False
chr1,1028988,1029321,Nanog_1k_peak_13,437,.,21.16626,48.11922,43.70037,281,False,False,True
chr1,1133931,1134198,Nanog_1k_peak_16,217,.,12.4161399999999,25.46789,21.77555,35,False,False,True
chr1,1327032,1327383,Nanog_1k_peak_19,151,.,10.79169,18.58001,15.17252,220,False,True,False
chr1,1402575,1402781,Nanog_1k_peak_21,385,.,20.30306,42.76399,38.50436,153,False,False,True
chr1,2308336,2308608,Nanog_1k_peak_38,150,.,10.55034,18.43499,15.03384,87,True,True,False
chr1,2667955,2668169,Nanog_1k_peak_41,306,.,17.0978399999999,34.6841299999999,30.6706799999999,81,True,True,False
chr1,3100014,3100156,Nanog_1k_peak_44,158,.,11.21214,19.32338,15.88269,69,False,True,False
chr1,3299897,3300029,Nanog_1k_peak_47,158,.,10.57714,19.2925799999999,15.85294,47,False,True,False
chr1,3507008,3507262,Nanog_1k_peak_48,142,.,10.09672,17.63834,14.27339,144,True,True,True
chr1,3516258,3516552,Nanog_1k_peak_49,444,.,20.35369,48.93499,44.49168,194,True,False,True
chr1,3647931,3648041,Nanog_1k_peak_51,155,.,10.39102,18.97899,15.55292,52,False,True,False
chr1,4210517,4210699,Nanog_1k_peak_53,423,.,21.14085,46.70947,42.33447,123,False,False,True
chr1,4724830,4725087,Nanog_1k_peak_62,185,.,10.05954,22.06961,18.51141,182,False,False,True
chr1,5013915,5014033,Nanog_1k_peak_70,285,.,16.78819,32.49752,28.55723,48,False,False,True
chr1,5111604,5111843,Nanog_1k_peak_73,308,.,13.0928899999999,34.91007,30.88994,133,False,False,True
chr1,5274470,5274634,Nanog_1k_peak_79,249,.,13.2952799999999,28.72235,24.91117,86,False,True,False
chr1,5279026,5279149,Nanog_1k_peak_80,217,.,12.02414,25.3928899999999,21.70329,85,False,True,False
chr1,5436490,5436629,Nanog_1k_peak_81,257,.,15.12105,29.5867,25.7448,70,False,True,False
chr1,5533959,5534232,Nanog_1k_peak_85,348,.,14.97282,38.9781599999999,34.83133,48,True,True,False
chr1,5966017,5966175,Nanog_1k_peak_90,524,.,22.39831,57.14286,52.46638,78,True,False,True
chr1,6164489,6164652,Nanog_1k_peak_95,225,.,13.2126799999999,26.24674,22.52597,91,False,True,False
chr1,7064949,7065481,Nanog_1k_peak_109,552,.,16.07961,60.02565,55.2669099999999,143,False,False,True
chr1,7129014,7129259,Nanog_1k_peak_112,146,.,10.31855,18.02511,14.64294,159,False,True,False
chr1,7257866,7258116,Nanog_1k_peak_117,322,.,13.88157,36.33672,32.26998,65,True,True,False
chr1,7514174,7514433,Nanog_1k_peak_120,179,.,11.82106,21.4508,17.91872,162,False,True,False
chr1,7698273,7698478,Nanog_1k_peak_125,168,.,10.64213,20.35835,16.8724299999999,29,True,True,False
chr1,7836017,7836285,Nanog_1k_peak_128,200,.,11.99802,23.65953,20.03587,174,False,True,False
chr1,7916780,7916970,Nanog_1k_peak_129,257,.,14.5390799999999,29.62136,25.77835,130,False,False,True
chr1,8534357,8534635,Nanog_1k_peak_135,138,.,10.17239,17.16492,13.82236,67,False,True,False
chr1,8552691,8553065,Nanog_1k_peak_137,175,.,10.75436,21.05793,17.54171,316,False,True,False
chr1,8693944,8694178,Nanog_1k_peak_143,182,.,11.1716699999999,21.75129,18.20702,95,False,True,False
chr1,8736991,8737187,Nanog_1k_peak_144,165,.,10.74877,20.04497,16.57246,92,False,True,False
chr1,8977933,8978042,Nanog_1k_peak_147,157,.,11.09259,19.16821,15.73396,44,True,True,False
chr1,9289793,9290056,Nanog_1k_peak_158,294,.,11.96215,33.45364,29.48064,218,False,True,False
